file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/infrastructure/mail/MailTemplateProcessor.java,com.databasir.core.infrastructure.mail.MailTemplateProcessor,class,5,7,2,5,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,14,1,0,0,1,0,1,0,2,0,3,1,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,class,28,28,0,28,8,1,0,10,0,0.5,0.75,0.75,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,33,8,0,0,0,0,21,0,3,0,5,0,0,0,0,44,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,class,10,10,0,10,7,1,0,40,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,48,2,0,1,0,0,0,0,3,0,6,2,0,0,2,23,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,class,1,7,6,1,16,1,0,3,30,0.73214287,0.375,0.875,16,0,16,0,0,0,16,0,0,0,7,1,0,7,0,0,1,0,0,74,7,0,0,0,0,10,1,20,0,8,0,0,0,0,41,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/infrastructure/driver/DriverResult.java,com.databasir.core.infrastructure.driver.DriverResult,class,3,6,3,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/test/java/com/databasir/core/domain/discussion/service/DocumentDiscussionServiceTest.java,com.databasir.core.domain.discussion.service.DocumentDiscussionServiceTest,class,12,12,0,12,4,2,0,20,0,0.41666666,1.0,1.0,4,0,0,0,0,4,4,0,0,0,3,0,0,3,0,0,0,0,0,41,0,0,0,0,0,8,14,14,0,17,0,0,0,2,31,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/project/data/ProjectUpdateRequest.java,com.databasir.core.domain.project.data.ProjectUpdateRequest,class,5,8,3,5,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,1,22,0,0,0,0,0,0,0,1,0,5,0,0,2,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/infrastructure/remote/gitlab/GitlabRemoteService.java,com.databasir.core.infrastructure.remote.gitlab.GitlabRemoteService,class,10,12,2,10,5,1,0,13,1,0.33333334,1.0,1.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,31,3,0,0,1,0,14,0,7,5,8,2,0,0,0,36,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/database/data/DatabaseTypeCreateRequest.java,com.databasir.core.domain.database.data.DatabaseTypeCreateRequest,class,2,6,4,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,17,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/records/TableColumnDocumentRecord.java,com.databasir.dao.tables.records.TableColumnDocumentRecord,class,8,10,2,8,92,2,0,61,4095,1.0,0.0,0.0,91,0,91,0,0,0,91,0,0,0,1,1,0,1,0,0,1,0,0,334,74,0,1,0,0,3,29,1,0,1,1,0,0,0,114,1,0
