file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/infrastructure/mail/MailTemplateProcessor.java,com.databasir.core.infrastructure.mail.MailTemplateProcessor,"process/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>]",mailTemplateConfiguration,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,listPlatforms/0,openAuthAppService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,listApps/0,openAuthAppService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,deleteById/1[java.lang.Integer],openAuthAppService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,getOne/1[java.lang.Integer],openAuthAppService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,"authorization/2[java.lang.String,com.databasir.api.HttpServletRequest]",openAuthHandlers,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,create/1[com.databasir.api.OAuthAppCreateRequest],openAuthAppService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,"listPage/2[com.databasir.api.Pageable,com.databasir.api.OAuthAppPageCondition]",openAuthAppService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,updateById/1[com.databasir.api.OAuthAppUpdateRequest],openAuthAppService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,updateEmailSetting/1[com.databasir.core.domain.system.data.SystemEmailUpdateRequest],sysMailDao,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,deleteSystemEmail/0,sysMailDao,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,getEmailSetting/0,sysMailDao,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,setAesKey/1[java.lang.String],aesKey,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,getRsaPrivateKey/0,rsaPrivateKey,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",rsaPrivateKey,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",updateAt,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",aesKey,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",id,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",rsaPublicKey,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",createAt,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,setRsaPublicKey/1[java.lang.String],rsaPublicKey,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,setId/1[java.lang.Integer],id,3
