file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/infrastructure/mail/MailTemplateProcessor.java,com.databasir.core.infrastructure.mail.MailTemplateProcessor,"process/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>]",template,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/infrastructure/mail/MailTemplateProcessor.java,com.databasir.core.infrastructure.mail.MailTemplateProcessor,"process/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>]",e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/infrastructure/mail/MailTemplateProcessor.java,com.databasir.core.infrastructure.mail.MailTemplateProcessor,"process/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>]",context,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/infrastructure/mail/MailTemplateProcessor.java,com.databasir.core.infrastructure.mail.MailTemplateProcessor,"process/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>]",writer,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/infrastructure/mail/MailTemplateProcessor.java,com.databasir.core.infrastructure.mail.MailTemplateProcessor,"process/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>]",templatePath,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,deleteById/1[java.lang.Integer],id,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,getOne/1[java.lang.Integer],id,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,"authorization/2[java.lang.String,com.databasir.api.HttpServletRequest]",authorization,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,"authorization/2[java.lang.String,com.databasir.api.HttpServletRequest]",request,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,"authorization/2[java.lang.String,com.databasir.api.HttpServletRequest]",registrationId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,"authorization/2[java.lang.String,com.databasir.api.HttpServletRequest]",parameters,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,create/1[com.databasir.api.OAuthAppCreateRequest],request,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,create/1[com.databasir.api.OAuthAppCreateRequest],id,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,"listPage/2[com.databasir.api.Pageable,com.databasir.api.OAuthAppPageCondition]",condition,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,"listPage/2[com.databasir.api.Pageable,com.databasir.api.OAuthAppPageCondition]",page,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/api/src/main/java/com/databasir/api/LoginAppController.java,com.databasir.api.LoginAppController,updateById/1[com.databasir.api.OAuthAppUpdateRequest],request,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,updateEmailSetting/1[com.databasir.core.domain.system.data.SystemEmailUpdateRequest],request,9
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,updateEmailSetting/1[com.databasir.core.domain.system.data.SystemEmailUpdateRequest],sysMail,10
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,updateEmailSetting/1[com.databasir.core.domain.system.data.SystemEmailUpdateRequest],idOpt,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,deleteSystemEmail/0,d,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,getEmailSetting/0,mail,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/main/java/com/databasir/core/domain/system/service/SystemService.java,com.databasir.core.domain.system.service.SystemService,getEmailSetting/0,response,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,setAesKey/1[java.lang.String],aesKey,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",rsaPrivateKey,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",updateAt,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",aesKey,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",id,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",rsaPublicKey,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,"SysKey/6[java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.time.LocalDateTime,java.time.LocalDateTime]",createAt,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,setRsaPublicKey/1[java.lang.String],rsaPublicKey,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,setId/1[java.lang.Integer],id,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,setUpdateAt/1[java.time.LocalDateTime],updateAt,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,setCreateAt/1[java.time.LocalDateTime],createAt,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,setRsaPrivateKey/1[java.lang.String],rsaPrivateKey,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,SysKey/1[com.databasir.dao.tables.pojos.SysKey],value,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/dao/generated-src/jooq/main/java/com/databasir/dao/tables/pojos/SysKey.java,com.databasir.dao.tables.pojos.SysKey,toString/0,sb,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/test/java/com/databasir/core/domain/discussion/service/DocumentDiscussionServiceTest.java,com.databasir.core.domain.discussion.service.DocumentDiscussionServiceTest,createWhenProjectNotExists/0,request,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/test/java/com/databasir/core/domain/discussion/service/DocumentDiscussionServiceTest.java,com.databasir.core.domain.discussion.service.DocumentDiscussionServiceTest,createWhenProjectNotExists/0,groupId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/test/java/com/databasir/core/domain/discussion/service/DocumentDiscussionServiceTest.java,com.databasir.core.domain.discussion.service.DocumentDiscussionServiceTest,createWhenProjectNotExists/0,projectId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/test/java/com/databasir/core/domain/discussion/service/DocumentDiscussionServiceTest.java,com.databasir.core.domain.discussion.service.DocumentDiscussionServiceTest,createWhenProjectNotExists/0,userId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/test/java/com/databasir/core/domain/discussion/service/DocumentDiscussionServiceTest.java,com.databasir.core.domain.discussion.service.DocumentDiscussionServiceTest,deleteByIdWhenProjectNotExists/0,groupId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/databasir/../../databasir/core/src/test/java/com/databasir/core/domain/discussion/service/DocumentDiscussionServiceTest.java,com.databasir.core.domain.discussion.service.DocumentDiscussionServiceTest,deleteByIdWhenProjectNotExists/0,projectId,1
