file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/support/DefaultQueryCountLogEntryCreatorTest.java,net.ttddyy.dsproxy.support.DefaultQueryCountLogEntryCreatorTest,class,3,3,0,3,2,1,0,16,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,6,12,6,0,6,0,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,class,6,8,2,6,6,2,0,17,0,0.0,1.0,1.0,3,0,2,0,1,0,3,0,0,0,2,0,0,2,0,0,0,0,0,33,4,0,0,0,0,1,0,9,0,9,2,0,0,0,36,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,class,3,74,71,3,32,1,0,7,430,0.91875,0.06653226,0.35685483,32,0,32,0,0,0,32,0,0,0,15,0,0,15,0,0,0,0,1,120,15,0,0,0,0,0,0,24,0,15,0,0,0,0,106,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/DataSourceQueryCountListenerTest.java,net.ttddyy.dsproxy.DataSourceQueryCountListenerTest,class,11,12,1,11,16,1,0,37,0,0.25,0.8333333,0.8333333,14,0,12,2,0,0,12,0,0,0,4,0,0,4,0,0,0,0,6,157,0,0,2,0,0,33,44,18,0,18,1,2,0,0,72,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/listener/lifecycle/JdbcLifecycleEventExecutionListenerTest.java,net.ttddyy.dsproxy.listener.lifecycle.JdbcLifecycleEventExecutionListenerTest,class,7,8,1,7,7,1,0,26,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,74,1,3,0,0,0,7,20,20,3,20,2,1,0,0,42,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/support/CommonsLogUtils.java,net.ttddyy.dsproxy.support.CommonsLogUtils,class,2,7,5,2,7,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/listener/logging/Log4jSlowQueryListener.java,net.ttddyy.dsproxy.listener.logging.Log4jSlowQueryListener,class,5,8,3,5,8,3,0,3,16,0.625,0.21428572,0.35714287,8,0,7,0,1,0,8,0,0,0,2,0,0,0,2,0,0,0,1,28,2,0,0,0,0,0,0,6,0,2,0,0,0,0,28,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/proxy/RepeatableReadResultSetProxyLogicTest.java,net.ttddyy.dsproxy.proxy.RepeatableReadResultSetProxyLogicTest$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/ObjectArrayUtils.java,net.ttddyy.dsproxy.proxy.ObjectArrayUtils,class,0,2,2,0,3,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2,0,0,0,0,0,0,0,11,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/proxy/RepeatableReadResultSetProxyLogicTest.java,net.ttddyy.dsproxy.proxy.RepeatableReadResultSetProxyLogicTest$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/proxy/RepeatableReadResultSetProxyLogicTest.java,net.ttddyy.dsproxy.proxy.RepeatableReadResultSetProxyLogicTest$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/StatementProxyLogic.java,net.ttddyy.dsproxy.proxy.StatementProxyLogic$Builder,innerclass,5,5,0,5,8,1,0,0,16,0.75,0.21428572,0.75,8,1,8,0,0,0,8,0,0,0,7,0,0,7,0,0,0,0,0,48,8,0,0,0,0,0,0,15,0,8,0,0,0,0,17,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/proxy/RepeatableReadResultSetProxyLogicTest.java,net.ttddyy.dsproxy.proxy.RepeatableReadResultSetProxyLogicTest$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/jdk/DataSourceInvocationHandler.java,net.ttddyy.dsproxy.proxy.jdk.DataSourceInvocationHandler,class,2,3,1,2,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0
