file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"DataSourceProxyLogic/2[javax.sql.DataSource,net.ttddyy.dsproxy.proxy.ProxyConfig]",proxyConfig,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"DataSourceProxyLogic/2[javax.sql.DataSource,net.ttddyy.dsproxy.proxy.ProxyConfig]",dataSource,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"invoke/3[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]",proxyConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"invoke/3[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]",dataSource,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",proxyConfig,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",dataSource,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,"addCustomValue/2[java.lang.String,java.lang.Object]",customValues,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getThrowable/0,throwable,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,isBatch/0,isBatch,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getGeneratedKeys/0,generatedKeys,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getResult/0,result,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getMethod/0,method,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setResult/1[java.lang.Object],result,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setIsolationLevel/1[int],isolationLevel,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setThrowable/1[java.lang.Throwable],throwable,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,"getCustomValue/2[java.lang.String,java.lang.Class<T>]",customValues,1
