file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/support/DefaultQueryCountLogEntryCreatorTest.java,net.ttddyy.dsproxy.support.DefaultQueryCountLogEntryCreatorTest,logFormat/0,false,15,3,16,0,16,1,16,19,0,3,0,16,0,0,0,0,0,0,4,12,3,0,0,0,0,0,12,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/support/DefaultQueryCountLogEntryCreatorTest.java,net.ttddyy.dsproxy.support.DefaultQueryCountLogEntryCreatorTest,logFormatWithNoName/0,false,38,3,4,0,4,1,4,7,0,3,0,4,0,0,0,0,0,0,2,0,3,0,0,0,0,0,15,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"DataSourceProxyLogic/2[javax.sql.DataSource,net.ttddyy.dsproxy.proxy.ProxyConfig]",true,22,1,4,4,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"invoke/3[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]",false,27,1,11,10,1,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",false,32,6,14,0,14,4,16,22,3,7,4,16,0,0,0,0,0,0,1,0,7,0,2,0,0,0,25,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,"addCustomValue/2[java.lang.String,java.lang.Object]",false,225,0,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getThrowable/0,false,137,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,isBatch/0,false,173,0,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getGeneratedKeys/0,false,208,0,11,11,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getResult/0,false,111,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getMethod/0,false,49,0,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setResult/1[java.lang.Object],false,115,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setIsolationLevel/1[int],false,101,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setThrowable/1[java.lang.Throwable],false,147,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,"getCustomValue/2[java.lang.String,java.lang.Class<T>]",false,232,1,0,0,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getIsolationLevel/0,false,94,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setMethod/1[java.lang.reflect.Method],false,53,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setElapsedTime/1[long],false,133,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setBatch/1[boolean],false,177,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getMethodArgs/0,false,57,0,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getDataSourceName/0,false,65,0,11,11,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getStatementType/0,false,151,1,10,10,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getStatement/0,false,196,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setGeneratedKeys/1[java.sql.ResultSet],false,212,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,getConnectionId/0,false,76,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setStatementType/1[net.ttddyy.dsproxy.StatementType],false,155,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,isSuccess/0,false,165,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,"ExecutionInfo/6[net.ttddyy.dsproxy.ConnectionInfo,java.sql.Statement,boolean,int,java.lang.reflect.Method,java.lang.Object[]]",true,36,2,6,2,4,1,4,11,0,0,6,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setStatement/1[java.sql.Statement],false,200,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
