file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/support/DefaultQueryCountLogEntryCreatorTest.java,net.ttddyy.dsproxy.support.DefaultQueryCountLogEntryCreatorTest,logFormat/0,log,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/support/DefaultQueryCountLogEntryCreatorTest.java,net.ttddyy.dsproxy.support.DefaultQueryCountLogEntryCreatorTest,logFormat/0,queryCount,14
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/support/DefaultQueryCountLogEntryCreatorTest.java,net.ttddyy.dsproxy.support.DefaultQueryCountLogEntryCreatorTest,logFormat/0,jsonLog,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/support/DefaultQueryCountLogEntryCreatorTest.java,net.ttddyy.dsproxy.support.DefaultQueryCountLogEntryCreatorTest,logFormatWithNoName/0,log,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/support/DefaultQueryCountLogEntryCreatorTest.java,net.ttddyy.dsproxy.support.DefaultQueryCountLogEntryCreatorTest,logFormatWithNoName/0,queryCount,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/test/java/net/ttddyy/dsproxy/support/DefaultQueryCountLogEntryCreatorTest.java,net.ttddyy.dsproxy.support.DefaultQueryCountLogEntryCreatorTest,logFormatWithNoName/0,jsonLog,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"DataSourceProxyLogic/2[javax.sql.DataSource,net.ttddyy.dsproxy.proxy.ProxyConfig]",proxyConfig,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"DataSourceProxyLogic/2[javax.sql.DataSource,net.ttddyy.dsproxy.proxy.ProxyConfig]",dataSource,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"invoke/3[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]",args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"invoke/3[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]",proxy,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"invoke/3[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]",method,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",args,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",jdbcProxyFactory,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",connectionIdManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",proxy,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",conn,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",method,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",methodContext,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",connId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",methodName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",connectionInfo,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/proxy/DataSourceProxyLogic.java,net.ttddyy.dsproxy.proxy.DataSourceProxyLogic,"performProxyLogic/4[java.lang.Object,java.lang.reflect.Method,java.lang.Object[],net.ttddyy.dsproxy.listener.MethodExecutionContext]",retVal,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,"addCustomValue/2[java.lang.String,java.lang.Object]",value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,"addCustomValue/2[java.lang.String,java.lang.Object]",key,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setResult/1[java.lang.Object],result,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setIsolationLevel/1[int],isolationLevel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,setThrowable/1[java.lang.Throwable],throwable,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,"getCustomValue/2[java.lang.String,java.lang.Class<T>]",type,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/datasource-proxy/../../datasource-proxy/src/main/java/net/ttddyy/dsproxy/ExecutionInfo.java,net.ttddyy.dsproxy.ExecutionInfo,"getCustomValue/2[java.lang.String,java.lang.Class<T>]",key,1
