file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/tck/src/main/java/org/apache/jdo/tck/pc/companyListWithoutJoin/Company.java,org.apache.jdo.tck.pc.companyListWithoutJoin.Company$Oid,innerclass,1,1,0,1,11,1,0,8,0,0.625,0.53571427,0.53571427,8,1,7,0,1,0,8,0,0,0,2,1,1,1,0,0,1,0,3,30,7,0,2,0,0,1,2,4,2,3,1,0,0,0,59,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/tck/src/main/java/org/apache/jdo/tck/api/persistencemanager/lifecycle/MakeNontransactionalTransientCleanInstance.java,org.apache.jdo.tck.api.persistencemanager.lifecycle.MakeNontransactionalTransientCleanInstance,class,7,8,1,7,28,3,0,20,0,0.58,NaN,NaN,5,0,1,4,0,0,1,0,0,0,10,1,0,10,0,0,3,0,3,122,0,2,4,4,4,17,14,30,3,19,4,0,0,0,82,1,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/tck/src/main/java/org/apache/jdo/tck/pc/companyMapWithoutJoin/IDepartment.java,org.apache.jdo.tck.pc.companyMapWithoutJoin.IDepartment,interface,2,12,10,2,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/tck/src/main/java/org/apache/jdo/tck/pc/companyListWithoutJoin/CompanyFactoryConcreteClass.java,org.apache.jdo.tck.pc.companyListWithoutJoin.CompanyFactoryConcreteClass,class,12,13,1,12,9,1,0,0,36,0.8888889,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,1,1,0,0,0,1,0,0,28,7,0,0,0,0,0,0,1,0,1,0,0,0,0,32,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/tck/src/main/java/org/apache/jdo/tck/pc/companyAnnotatedPC/PCDSInsurance.java,org.apache.jdo.tck.pc.companyAnnotatedPC.PCDSInsurance,class,14,17,3,14,17,1,2,13,50,0.734375,0.29166666,0.45833334,16,0,12,0,4,0,16,0,0,0,4,1,0,4,0,0,1,0,0,94,11,0,1,0,0,18,2,12,5,7,1,0,1,0,126,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/tck/src/main/java/org/apache/jdo/tck/pc/mylib/PCClass.java,org.apache.jdo.tck.pc.mylib.PCClass$Oid,innerclass,1,1,0,1,13,1,0,6,1,0.64285713,0.47619048,0.47619048,7,1,6,0,1,0,7,0,0,0,2,1,1,1,0,0,1,0,2,33,9,0,5,0,1,1,6,4,2,4,2,0,0,0,34,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/tck/src/main/java/org/apache/jdo/tck/models/fieldtypes/TestHashMapStringKeyCollections.java,org.apache.jdo.tck.models.fieldtypes.TestHashMapStringKeyCollections,class,8,9,1,8,18,2,0,34,10,0.8,0.0,0.0,5,0,1,2,1,1,3,0,0,0,1,1,0,1,0,0,1,0,6,89,1,4,3,0,2,20,16,29,6,23,5,0,0,0,101,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/api/src/test/java/javax/jdo/identity/ObjectIdentityTest.java,javax.jdo.identity.ObjectIdentityTest$BadIdClassNoPublicStringConstructor,innerclass,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/tck/src/main/java/org/apache/jdo/tck/pc/fieldtypes/SimpleEnum.java,org.apache.jdo.tck.pc.fieldtypes.SimpleEnum,enum,0,6,6,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,36,1,0,0,0,0,59,0,1,0,1,0,0,1,0,31,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-jdo/../../db-jdo/tck/src/main/java/org/apache/jdo/tck/pc/companyListWithoutJoin/Company.java,org.apache.jdo.tck.pc.companyListWithoutJoin.Company,class,6,11,5,6,23,1,0,19,102,0.78000003,0.22807017,0.53216374,20,0,18,1,1,0,19,0,0,0,5,1,0,5,0,0,1,0,1,109,12,0,3,0,1,11,3,13,6,8,1,0,1,0,157,1,0
