file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,beforeClass/0,CONNECTION,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,beforeClass/0,JDBC_URL,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,beforeClass/0,STATEMENT,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,beforeClass/0,PASSWORD,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,beforeClass/0,USER,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,beforeClass/0,DRIVER_CLASS,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,afterClass/0,STATEMENT,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,afterClass/0,CONNECTION,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,test/0,STATEMENT,10
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/elasticsearch/elasticsearch6/src/main/java/io/github/dunwu/javadb/elasticsearch/mapper/BaseEsMapper.java,io.github.dunwu.javadb.elasticsearch.mapper.BaseEsMapper,getBulkProcessor/0,bulkProcessor,3
