file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,beforeClass/0,e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,afterClass/0,e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/h2/src/test/java/io/github/dunwu/javadb/h2/H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,test/0,rs,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/elasticsearch/elasticsearch6/src/main/java/io/github/dunwu/javadb/elasticsearch/mapper/BaseEsMapper.java,io.github.dunwu.javadb.elasticsearch.mapper.BaseEsMapper,pojoPage/1[io.github.dunwu.javadb.elasticsearch.mapper.SearchSourceBuilder],builder,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/elasticsearch/elasticsearch6/src/main/java/io/github/dunwu/javadb/elasticsearch/mapper/BaseEsMapper.java,io.github.dunwu.javadb.elasticsearch.mapper.BaseEsMapper,insert/1[T],entity,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/elasticsearch/elasticsearch6/src/main/java/io/github/dunwu/javadb/elasticsearch/mapper/BaseEsMapper.java,io.github.dunwu.javadb.elasticsearch.mapper.BaseEsMapper,updateById/1[T],entity,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/elasticsearch/elasticsearch6/src/main/java/io/github/dunwu/javadb/elasticsearch/mapper/BaseEsMapper.java,io.github.dunwu.javadb.elasticsearch.mapper.BaseEsMapper,"asyncBatchDeleteById/2[java.util.Collection<java.lang.String>,io.github.dunwu.javadb.elasticsearch.mapper.ActionListener<io.github.dunwu.javadb.elasticsearch.mapper.BulkResponse>]",listener,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/elasticsearch/elasticsearch6/src/main/java/io/github/dunwu/javadb/elasticsearch/mapper/BaseEsMapper.java,io.github.dunwu.javadb.elasticsearch.mapper.BaseEsMapper,"asyncBatchDeleteById/2[java.util.Collection<java.lang.String>,io.github.dunwu.javadb.elasticsearch.mapper.ActionListener<io.github.dunwu.javadb.elasticsearch.mapper.BulkResponse>]",ids,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/elasticsearch/elasticsearch6/src/main/java/io/github/dunwu/javadb/elasticsearch/mapper/BaseEsMapper.java,io.github.dunwu.javadb.elasticsearch.mapper.BaseEsMapper,isIndexExists/0,request,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/db-tutorial/../../db-tutorial/codes/javadb/elasticsearch/elasticsearch6/src/main/java/io/github/dunwu/javadb/elasticsearch/mapper/BaseEsMapper.java,io.github.dunwu.javadb.elasticsearch.mapper.BaseEsMapper,isIndexExists/0,indicesClient,1
