file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-connector-mysql/src/test/java/io/debezium/connector/mysql/SnapshotSourceIT.java,io.debezium.connector.mysql.SnapshotSourceIT$Anonymous1,anonymous,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,18,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-connector-mysql/src/main/java/io/debezium/connector/mysql/strategy/AbstractConnectorConnection.java,io.debezium.connector.mysql.strategy.AbstractConnectorConnection$DatabaseLocales,innerclass,0,0,0,0,4,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,24,0,0,2,0,0,6,0,2,0,2,1,0,0,0,23,9,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-testing/debezium-testing-testcontainers/src/main/java/io/debezium/testing/testcontainers/MongoDbReplicaSet.java,io.debezium.testing.testcontainers.MongoDbReplicaSet$Builder,innerclass,7,7,0,7,13,1,0,1,78,0.92307687,0.0,0.0,13,0,13,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,67,13,0,0,0,0,4,1,23,0,13,0,0,0,0,39,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-connector-mysql/src/main/java/io/debezium/connector/mysql/strategy/mysql/MySqlHistoryRecordComparator.java,io.debezium.connector.mysql.strategy.mysql.MySqlHistoryRecordComparator,class,3,4,1,3,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-core/src/main/java/io/debezium/pipeline/source/snapshot/incremental/DataCollection.java,io.debezium.pipeline.source.snapshot.incremental.DataCollection,class,2,9,7,2,13,1,0,7,0,0.5,0.6785714,1.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,7,40,8,0,3,0,0,8,0,4,3,4,1,0,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-connector-postgres/src/main/java/io/debezium/connector/postgresql/connection/ReplicationMessage.java,io.debezium.connector.postgresql.connection.ReplicationMessage$NoopMessage,innerclass,3,3,0,3,9,1,0,2,22,0.75,0.10714286,0.21428572,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,2,31,4,0,1,0,0,0,0,3,0,3,0,0,0,0,56,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-embedded/src/main/java/io/debezium/embedded/async/ParallelSmtAndConvertBatchProcessor.java,io.debezium.embedded.async.ParallelSmtAndConvertBatchProcessor,class,8,10,2,8,4,2,0,14,0,0.125,1.0,1.0,2,0,1,0,0,1,2,0,0,0,4,1,0,1,0,3,4,0,1,26,0,1,1,0,0,3,0,7,0,8,2,0,0,1,53,1,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-connector-sqlserver/src/test/java/io/debezium/connector/sqlserver/CaseSensitivenessIT.java,io.debezium.connector.sqlserver.CaseSensitivenessIT,class,13,14,1,13,6,2,0,27,0,0.0,1.0,1.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,6,51,0,0,1,0,9,43,12,8,0,4,1,0,0,0,73,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-connector-mysql/src/main/java/io/debezium/connector/mysql/MySqlConnectorConfig.java,io.debezium.connector.mysql.MySqlConnectorConfig,class,29,67,38,29,61,2,0,73,388,0.962381,0.16507937,0.515873,41,9,31,5,4,1,36,0,0,0,59,46,38,16,4,1,57,0,17,504,50,0,8,0,1,186,51,71,25,76,2,0,7,2,680,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/debezium/../../debezium/debezium-core/src/main/java/io/debezium/heartbeat/Heartbeat.java,io.debezium.heartbeat.Heartbeat$OffsetProducer,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
