file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,class,2,10,8,2,11,1,0,3,0,0.2857143,0.85714287,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,3,35,8,0,4,0,0,4,0,4,2,4,1,0,0,0,29,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,class,11,14,3,11,15,2,0,57,15,0.8333333,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,2,0,2,0,0,2,0,3,89,5,2,0,3,0,19,1,33,0,31,4,0,0,0,101,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/writer/serializer/RowDataSerializer.java,org.apache.doris.flink.sink.writer.serializer.RowDataSerializer$Builder,innerclass,4,4,0,4,8,1,0,5,5,0.6666667,0.33333334,1.0,6,0,6,0,0,0,6,0,0,0,5,0,0,5,0,0,0,0,1,36,6,0,1,0,0,0,0,5,0,5,1,0,0,0,18,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/test/java/org/apache/doris/flink/sink/schema/SchemaManagerTest.java,org.apache.doris.flink.sink.schema.SchemaManagerTest,class,17,17,0,17,7,1,0,18,13,0.7142857,0.1904762,0.2857143,7,0,7,0,0,0,7,0,0,0,6,4,0,0,0,6,0,0,6,59,0,0,0,0,0,54,3,20,2,16,0,0,0,2,68,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/cfg/DorisExecutionOptions.java,org.apache.doris.flink.cfg.DorisExecutionOptions,class,3,33,30,3,25,1,0,4,238,0.9423076,0.06884058,0.6195652,24,5,24,0,0,0,24,0,0,0,26,9,2,24,0,0,24,0,0,221,22,0,0,0,0,12,14,30,3,29,0,0,1,0,87,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/test/java/org/apache/doris/flink/DorisSinkSQLExample.java,org.apache.doris.flink.DorisSinkSQLExample,class,4,4,0,4,1,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,21,2,4,1,4,0,0,0,0,29,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/table/DorisRowDataJdbcLookupFunction.java,org.apache.doris.flink.table.DorisRowDataJdbcLookupFunction,class,15,17,2,15,14,2,0,21,0,0.6458333,0.5,1.0,6,0,5,1,0,0,5,0,0,0,8,1,0,8,0,0,5,0,1,55,2,1,7,0,0,1,2,12,0,11,3,0,0,0,55,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/copy/models/CopyIntoResp.java,org.apache.doris.flink.sink.copy.models.CopyIntoResp,class,2,3,1,2,3,2,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,3,0,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisAbstractCommittable.java,org.apache.doris.flink.sink.DorisAbstractCommittable,interface,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/catalog/doris/DorisSystem.java,org.apache.doris.flink.catalog.doris.DorisSystem,class,11,16,5,11,51,1,0,72,184,0.94000006,0.022058824,0.022058824,20,8,17,3,0,0,17,0,0,0,5,4,0,5,0,0,5,0,28,180,18,5,7,2,1,51,17,27,10,27,3,0,0,2,125,1,1
