file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,equals/1[java.lang.Object],hostPort,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,equals/1[java.lang.Object],db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,equals/1[java.lang.Object],txnID,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,toString/0,hostPort,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,toString/0,db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,toString/0,txnID,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,getHostPort/0,hostPort,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,"DorisCommittable/3[java.lang.String,java.lang.String,long]",hostPort,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,"DorisCommittable/3[java.lang.String,java.lang.String,long]",db,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,"DorisCommittable/3[java.lang.String,java.lang.String,long]",txnID,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,getTxnID/0,txnID,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,hashCode/0,hostPort,1
