file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,equals/1[java.lang.Object],false,47,1,0,0,0,5,2,10,3,1,1,2,0,0,0,4,0,0,0,0,1,0,1,0,0,0,14,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,toString/0,false,66,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,getHostPort/0,false,34,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,"DorisCommittable/3[java.lang.String,java.lang.String,long]",true,28,0,4,4,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,getTxnID/0,false,42,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,hashCode/0,false,61,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,getDb/0,false,38,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,PostgresDatabaseSync/0,true,68,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,registerDriver/0,false,73,0,0,0,0,2,1,8,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,15,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getConnection/0,false,83,0,1,1,0,1,4,7,1,2,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,false,97,4,4,0,4,4,11,22,1,9,0,11,1,1,1,0,2,0,5,1,9,0,4,0,0,0,25,1,1,false
