file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,equals/1[java.lang.Object],that,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,equals/1[java.lang.Object],o,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,"DorisCommittable/3[java.lang.String,java.lang.String,long]",hostPort,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,"DorisCommittable/3[java.lang.String,java.lang.String,long]",db,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/sink/DorisCommittable.java,org.apache.doris.flink.sink.DorisCommittable,"DorisCommittable/3[java.lang.String,java.lang.String,long]",txnID,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,registerDriver/0,ex,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getConnection/0,jdbcUrl,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getConnection/0,pro,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,schemaList,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,metaData,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,conn,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,tables,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,databaseName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,tableComment,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,schemaName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,sourceSchema,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,getSchemaList/0,tableName,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],startupMode,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],schema,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],customConverterConfigs,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],databaseName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],env,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],schemaName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],tableName,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],slotName,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],postgresSource,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],entry,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],hostname,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],password,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],port,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-flink-connector/../../doris-flink-connector/flink-doris-connector/src/main/java/org/apache/doris/flink/tools/cdc/postgres/PostgresDatabaseSync.java,org.apache.doris.flink.tools.cdc.postgres.PostgresDatabaseSync,buildCdcSource/1[org.apache.doris.flink.tools.cdc.postgres.StreamExecutionEnvironment],debeziumProperties,7
