file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/manager/src/main/java/org/apache/doris/stack/model/request/construct/TableCreateReq.java,org.apache.doris.stack.model.request.construct.TableCreateReq$Engine,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/resource-common/src/main/java/org/apache/doris/stack/model/response/space/NewUserSpaceInfo.java,org.apache.doris.stack.model.response.space.NewUserSpaceInfo$SpaceAdminUserInfo,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,innerclass,4,4,0,4,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,10,5,0,10,0,0,5,0,0,22,0,0,0,0,0,5,0,11,0,11,1,0,0,0,26,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/dao/ManagerDatabaseRepository.java,org.apache.doris.stack.dao.ManagerDatabaseRepository,interface,4,11,7,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,class,18,19,1,18,8,1,0,34,0,0.6666667,0.6,0.6,6,0,5,1,0,0,5,0,0,0,4,0,1,3,0,0,0,0,0,104,0,0,0,2,0,27,2,25,0,23,1,0,0,0,53,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/exception/DorisJdbcPortErrorException.java,org.apache.doris.stack.exception.DorisJdbcPortErrorException,class,0,1,1,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,10,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/manager/src/main/java/org/apache/doris/stack/model/palo/HdfsFilePreviewReq.java,org.apache.doris.stack.model.palo.HdfsFilePreviewReq$FileInfo,innerclass,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,15,1,0,0,0,0,3,0,1,0,4,0,0,0,0,11,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/activity/ActivityModelType.java,org.apache.doris.stack.model.activity.ActivityModelType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/util/UuidUtil.java,org.apache.doris.stack.util.UuidUtil,class,0,5,5,0,3,1,0,3,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/connector/LdapUserAttributeMapper.java,org.apache.doris.stack.connector.LdapUserAttributeMapper,class,4,5,1,4,10,1,0,19,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,2,50,1,1,4,0,0,8,0,7,0,6,2,0,0,0,26,1,0
