file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],password,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],PASSWORD,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],PORT,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],port,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],dbName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],host,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],HOST,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],DB_NAME,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],USER,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],user,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testReadLdapConfig/0,ldapComponent,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testReadLdapConfig/0,settingComponent,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testEnable/0,ldapComponent,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testEnable/0,settingComponent,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,readConfigMock/0,settingComponent,11
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testCheckLdapConnection/0,ldapComponent,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testCheckLdapConnection/0,ldapClient,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testAddLdapConfig/0,ldapComponent,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/exception/DorisJdbcPortErrorException.java,org.apache.doris.stack.exception.DorisJdbcPortErrorException,DorisJdbcPortErrorException/0,MESSAGE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/manager/src/main/java/org/apache/doris/stack/model/palo/HdfsFilePreviewReq.java,org.apache.doris.stack.model.palo.HdfsFilePreviewReq$FileInfo,toString/0,format,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/manager/src/main/java/org/apache/doris/stack/model/palo/HdfsFilePreviewReq.java,org.apache.doris.stack.model.palo.HdfsFilePreviewReq$FileInfo,toString/0,fileUrl,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/manager/src/main/java/org/apache/doris/stack/model/palo/HdfsFilePreviewReq.java,org.apache.doris.stack.model.palo.HdfsFilePreviewReq$FileInfo,toString/0,columnSeparator,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/connector/LdapUserAttributeMapper.java,org.apache.doris.stack.connector.LdapUserAttributeMapper,LdapUserAttributeMapper/1[org.apache.doris.stack.model.request.config.LdapSettingReq],ldapSettingReq,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/connector/LdapUserAttributeMapper.java,org.apache.doris.stack.connector.LdapUserAttributeMapper,mapFromAttributes/1[javax.naming.directory.Attributes],flag,2
