file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],true,228,1,0,0,0,2,4,10,0,1,1,4,0,0,0,0,0,0,0,0,6,0,1,0,0,0,20,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/dao/ManagerDatabaseRepository.java,org.apache.doris.stack.dao.ManagerDatabaseRepository,getNameByClusterId/1[long],false,36,2,4,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/dao/ManagerDatabaseRepository.java,org.apache.doris.stack.dao.ManagerDatabaseRepository,"getByClusterIdAndName/2[long,java.lang.String]",false,29,3,8,8,0,1,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/dao/ManagerDatabaseRepository.java,org.apache.doris.stack.dao.ManagerDatabaseRepository,getByClusterId/1[long],false,33,3,4,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testReadLdapConfig/0,false,123,6,4,0,4,1,19,26,0,2,0,19,1,1,0,0,0,0,11,1,6,0,0,0,0,0,19,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,setUp/0,false,63,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testEnable/0,false,101,4,3,0,3,1,6,10,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,readConfigMock/0,false,175,2,3,1,2,1,4,24,0,11,0,4,0,0,0,0,0,0,10,0,11,0,0,0,0,0,19,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testCheckLdapConnection/0,false,161,6,4,0,4,1,8,11,0,3,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testAddLdapConfig/0,false,71,3,2,0,2,3,9,24,0,2,0,9,0,0,0,0,2,0,6,1,2,0,1,0,0,0,18,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/exception/DorisJdbcPortErrorException.java,org.apache.doris.stack.exception.DorisJdbcPortErrorException,DorisJdbcPortErrorException/0,true,24,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/manager/src/main/java/org/apache/doris/stack/model/palo/HdfsFilePreviewReq.java,org.apache.doris.stack.model.palo.HdfsFilePreviewReq$FileInfo,toString/0,false,44,0,0,0,0,1,2,10,1,1,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/util/UuidUtil.java,org.apache.doris.stack.util.UuidUtil,newUuidString/0,false,35,0,1,1,0,1,3,3,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/util/UuidUtil.java,org.apache.doris.stack.util.UuidUtil,newUuid/0,false,31,0,6,6,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/util/UuidUtil.java,org.apache.doris.stack.util.UuidUtil,UuidUtil/0,true,23,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/connector/LdapUserAttributeMapper.java,org.apache.doris.stack.connector.LdapUserAttributeMapper,LdapUserAttributeMapper/1[org.apache.doris.stack.model.request.config.LdapSettingReq],true,40,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/connector/LdapUserAttributeMapper.java,org.apache.doris.stack.connector.LdapUserAttributeMapper,mapFromAttributes/1[javax.naming.directory.Attributes],false,50,2,2,0,2,9,19,43,1,4,1,19,0,0,1,4,0,0,8,0,5,0,2,0,0,0,20,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/resource-common/src/main/java/org/apache/doris/stack/dao/HeartBeatEventRepository.java,org.apache.doris.stack.dao.HeartBeatEventRepository,save/1[org.apache.doris.stack.entity.HeartBeatEventEntity],false,41,2,9,9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,false
