file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],detail,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/model/meta/DataBaseResp.java,org.apache.doris.stack.model.meta.DataBaseResp$Detail,Detail/1[java.lang.String],jsonObject,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/dao/ManagerDatabaseRepository.java,org.apache.doris.stack.dao.ManagerDatabaseRepository,getNameByClusterId/1[long],clusterId,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/dao/ManagerDatabaseRepository.java,org.apache.doris.stack.dao.ManagerDatabaseRepository,"getByClusterIdAndName/2[long,java.lang.String]",name,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/dao/ManagerDatabaseRepository.java,org.apache.doris.stack.dao.ManagerDatabaseRepository,"getByClusterIdAndName/2[long,java.lang.String]",clusterId,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/main/java/org/apache/doris/stack/dao/ManagerDatabaseRepository.java,org.apache.doris.stack.dao.ManagerDatabaseRepository,getByClusterId/1[long],clusterId,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testReadLdapConfig/0,settingEntity,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testReadLdapConfig/0,resp,17
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,testEnable/0,settingEntity,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-manager/../../doris-manager/manager/general/src/test/java/org/apache/doris/stack/component/LdapComponentTest.java,org.apache.doris.stack.component.LdapComponentTest,readConfigMock/0,emailSettingEntity,1
