file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/rest/models/RespContent.java,org.apache.doris.spark.rest.models.RespContent,class,4,6,2,4,7,1,0,5,15,0.95614034,0.0,0.0,6,0,6,0,0,0,6,0,0,0,19,1,0,19,0,0,1,0,1,45,7,0,0,1,0,22,0,2,0,20,1,0,0,0,60,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/rest/RestService.java,org.apache.doris.spark.rest.RestService$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad$BackendCacheLoader,innerclass,4,4,0,4,2,2,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad,class,31,35,4,31,64,2,0,102,81,0.8675215,0.3611111,0.5833333,18,1,9,9,0,0,9,0,0,0,26,6,0,26,0,0,22,0,28,359,14,3,8,10,0,89,16,80,12,79,4,3,2,3,222,1,16
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/rest/models/BackendRow.java,org.apache.doris.spark.rest.models.BackendRow,class,2,5,3,2,7,1,0,0,3,0.5714286,0.42857143,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,26,4,0,0,0,0,7,0,3,2,3,0,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/util/IOUtils.java,org.apache.doris.spark.util.IOUtils,class,1,2,1,1,6,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,2,2,0,3,0,2,0,2,2,0,0,0,21,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/exception/ConnectedFailedException.java,org.apache.doris.spark.exception.ConnectedFailedException,class,1,2,1,1,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,2,0,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/cfg/PropertiesSettings.java,org.apache.doris.spark.cfg.PropertiesSettings,class,2,5,3,2,7,2,0,4,0,0.16666667,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,1,0,0,0,1,0,1,0,0,22,3,0,1,0,0,1,0,1,0,1,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/test/scala/org/apache/doris/spark/load/StreamLoaderTest.java,org.apache.doris.spark.load.StreamLoaderTest,class,6,6,0,6,2,1,0,2,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,19,0,0,0,0,0,7,0,3,0,3,0,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/test/java/org/apache/doris/spark/serialization/TestRowBatch.java,org.apache.doris.spark.serialization.TestRowBatch,class,38,39,1,38,8,1,0,62,0,0.14285715,1.0,1.0,7,0,7,0,0,0,7,0,0,0,2,1,1,1,0,0,1,0,16,434,0,1,0,0,1,116,239,131,9,119,1,0,0,0,98,1,0
