file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/rest/models/RespContent.java,org.apache.doris.spark.rest.models.RespContent,getStatus/0,Status,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/rest/models/RespContent.java,org.apache.doris.spark.rest.models.RespContent,getMessage/0,Message,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/rest/models/RespContent.java,org.apache.doris.spark.rest.models.RespContent,isSuccess/0,DORIS_SUCCESS_STATUS,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/rest/models/RespContent.java,org.apache.doris.spark.rest.models.RespContent,getTxnId/0,TxnId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/rest/models/RespContent.java,org.apache.doris.spark.rest.models.RespContent,isCopyIntoSuccess/0,msg,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad$BackendCacheLoader,BackendCacheLoader/1[org.apache.doris.spark.cfg.SparkSettings],settings,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad$BackendCacheLoader,load/1[java.lang.String],settings,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad,handleStreamPassThrough/0,streamLoadProp,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad,handleStreamPassThrough/0,LOG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad,handleStreamPassThrough/0,dataFormat,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad,"load/2[java.util.Iterator<org.apache.doris.spark.load.InternalRow>,org.apache.doris.spark.load.StructType]",txnIntervalMs,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad,"load/2[java.util.Iterator<org.apache.doris.spark.load.InternalRow>,org.apache.doris.spark.load.StructType]",loadUrlStr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad,"load/2[java.util.Iterator<org.apache.doris.spark.load.InternalRow>,org.apache.doris.spark.load.StructType]",LOG,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad,"load/2[java.util.Iterator<org.apache.doris.spark.load.InternalRow>,org.apache.doris.spark.load.StructType]",dataFormat,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/doris-spark-connector/../../doris-spark-connector/spark-doris-connector/src/main/java/org/apache/doris/spark/load/DorisStreamLoad.java,org.apache.doris.spark.load.DorisStreamLoad,"load/2[java.util.Iterator<org.apache.doris.spark.load.InternalRow>,org.apache.doris.spark.load.StructType]",addDoubleQuotes,4
