file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-sample/src/main/java/org/dromara/easyes/sample/mapper/DocumentMapper.java,org.dromara.easyes.sample.mapper.DocumentMapper,interface,2,3,1,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,class,43,45,2,43,82,1,0,158,78,0.0,0.0,0.0,13,13,3,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,111,364,17,1,2,0,5,3,3,90,4,50,3,0,0,18,123,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/EsWrappers.java,org.dromara.easyes.core.core.EsWrappers,class,9,14,5,9,6,1,0,0,15,0.0,0.0,0.0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/conditions/function/Compare.java,org.dromara.easyes.core.conditions.function.Compare,interface,7,24,17,7,185,1,0,67,17020,0.0,0.0,0.0,185,0,0,0,0,185,185,0,0,0,0,0,0,0,0,0,0,0,24,516,164,0,0,0,0,0,0,1,0,1,0,0,0,0,72,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/biz/EsIndexInfo.java,org.dromara.easyes.core.biz.EsIndexInfo,class,2,5,3,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/conditions/update/LambdaEsUpdateChainWrapper.java,org.dromara.easyes.core.conditions.update.LambdaEsUpdateChainWrapper,class,7,9,2,7,2,3,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,11,1,0,0,0,0,1,0,2,0,1,0,0,0,0,14,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-annotation/src/main/java/org/dromara/easyes/annotation/rely/JoinField.java,org.dromara.easyes.annotation.rely.JoinField,class,0,4,4,0,5,1,0,0,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,3,0,2,2,2,0,0,0,0,15,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/cache/GlobalConfigCache.java,org.dromara.easyes.core.cache.GlobalConfigCache,class,2,8,6,2,2,1,0,5,0,0.0,1.0,1.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,15,2,0,0,0,0,0,1,3,0,3,1,0,0,1,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-extension/src/main/java/org/dromara/easyes/extension/context/InterceptorChain.java,org.dromara.easyes.extension.context.InterceptorChain,class,2,4,2,2,4,1,0,3,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,15,2,1,0,0,0,0,0,2,0,1,1,0,0,0,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/toolkit/EntityInfoHelper.java,org.dromara.easyes.core.toolkit.EntityInfoHelper,class,33,43,10,33,82,1,0,190,188,0.9,0.1,0.1,20,20,5,15,0,0,5,0,0,1,1,1,0,1,0,0,1,0,66,424,20,3,15,1,0,1,0,90,1,80,4,0,0,7,112,1,0
