file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/conditions/update/LambdaEsUpdateChainWrapper.java,org.dromara.easyes.core.conditions.update.LambdaEsUpdateChainWrapper,getBaseEsMapper/0,baseEsMapper,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/conditions/update/LambdaEsUpdateChainWrapper.java,org.dromara.easyes.core.conditions.update.LambdaEsUpdateChainWrapper,LambdaEsUpdateChainWrapper/1[org.dromara.easyes.core.core.BaseEsMapper<T>],baseEsMapper,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-annotation/src/main/java/org/dromara/easyes/annotation/rely/JoinField.java,org.dromara.easyes.annotation.rely.JoinField,toString/0,parent,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-annotation/src/main/java/org/dromara/easyes/annotation/rely/JoinField.java,org.dromara.easyes.annotation.rely.JoinField,toString/0,name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-annotation/src/main/java/org/dromara/easyes/annotation/rely/JoinField.java,org.dromara.easyes.annotation.rely.JoinField,getParent/0,parent,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-annotation/src/main/java/org/dromara/easyes/annotation/rely/JoinField.java,org.dromara.easyes.annotation.rely.JoinField,setParent/1[java.lang.String],parent,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-annotation/src/main/java/org/dromara/easyes/annotation/rely/JoinField.java,org.dromara.easyes.annotation.rely.JoinField,getName/0,name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-annotation/src/main/java/org/dromara/easyes/annotation/rely/JoinField.java,org.dromara.easyes.annotation.rely.JoinField,setName/1[java.lang.String],name,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/cache/GlobalConfigCache.java,org.dromara.easyes.core.cache.GlobalConfigCache,getGlobalConfig/0,globalConfigMap,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/cache/GlobalConfigCache.java,org.dromara.easyes.core.cache.GlobalConfigCache,setGlobalConfig/1[org.dromara.easyes.core.config.GlobalConfig],globalConfigMap,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-extension/src/main/java/org/dromara/easyes/extension/context/InterceptorChain.java,org.dromara.easyes.extension.context.InterceptorChain,pluginAll/1[T],interceptors,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-extension/src/main/java/org/dromara/easyes/extension/context/InterceptorChain.java,org.dromara.easyes.extension.context.InterceptorChain,getInterceptors/0,interceptors,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-extension/src/main/java/org/dromara/easyes/extension/context/InterceptorChain.java,org.dromara.easyes.extension.context.InterceptorChain,addInterceptor/1[org.dromara.easyes.extension.context.Interceptor],interceptors,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/toolkit/EntityInfoHelper.java,org.dromara.easyes.core.toolkit.EntityInfoHelper,getEntityInfo/1[java.lang.Class<?>],ENTITY_INFO_CACHE,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/toolkit/EntityInfoHelper.java,org.dromara.easyes.core.toolkit.EntityInfoHelper,"initIndexInfo/2[org.dromara.easyes.core.config.GlobalConfig,java.lang.Class<?>]",ENTITY_INFO_CACHE,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-extension/src/main/java/org/dromara/easyes/extension/plugins/Plugin.java,org.dromara.easyes.extension.plugins.Plugin,"invoke/3[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]",signatureMap,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-extension/src/main/java/org/dromara/easyes/extension/plugins/Plugin.java,org.dromara.easyes.extension.plugins.Plugin,"invoke/3[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]",interceptor,1
