file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"initSearchSourceBuilder/2[org.dromara.easyes.core.core.Wrapper<?>,java.lang.Class<?>]",false,321,7,9,1,8,3,20,17,1,3,2,20,4,3,0,1,0,0,0,0,3,0,1,0,0,0,31,10,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",false,498,10,5,1,4,7,19,37,1,7,3,19,1,1,1,1,0,0,0,0,10,0,4,0,0,1,38,10,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"includeId/2[java.lang.String,org.dromara.easyes.core.core.Wrapper<?>]",false,366,2,3,1,2,5,4,11,3,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"getBool/4[java.util.List<org.dromara.easyes.core.biz.Param>,org.dromara.easyes.core.core.BoolQueryBuilder,org.dromara.easyes.core.biz.EntityInfo,java.lang.String]",false,289,6,5,2,3,3,12,18,2,4,4,12,1,2,0,0,0,0,0,2,5,0,1,0,0,1,15,10,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setFetchSource/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",false,384,4,3,1,2,3,3,8,1,2,3,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11,10,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"initBoolQueryBuilder/2[java.util.List<org.dromara.easyes.core.biz.Param>,java.lang.Class<?>]",false,76,5,7,3,4,1,10,7,1,5,2,10,1,3,0,0,0,0,0,0,4,0,0,0,0,1,13,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setSort/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",false,433,7,4,1,3,6,15,23,0,5,3,15,1,1,0,0,0,0,0,0,3,0,3,0,0,2,20,10,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setBool/3[org.dromara.easyes.core.core.BoolQueryBuilder,org.dromara.easyes.core.biz.QueryBuilder,org.dromara.easyes.common.enums.EsQueryTypeEnum]",false,267,3,1,1,0,5,5,17,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,10,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"getSortBuilder/2[java.lang.String,org.dromara.easyes.core.biz.BaseSortParam]",false,471,2,1,1,0,5,12,14,5,0,2,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,10,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"getRealAggregationBuilder/3[org.dromara.easyes.common.enums.AggregationTypeEnum,java.lang.String,java.lang.String]",false,553,2,1,1,0,6,7,24,1,1,3,7,0,0,0,0,0,0,1,0,6,0,1,0,0,0,14,10,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"buildSearchSourceBuilder/2[org.dromara.easyes.core.core.Wrapper<?>,java.lang.Class<?>]",false,56,4,5,3,2,1,3,6,1,2,2,3,2,7,0,0,0,0,0,0,2,0,0,0,0,0,12,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"initBool/5[org.dromara.easyes.core.core.BoolQueryBuilder,org.dromara.easyes.core.biz.Param,org.dromara.easyes.core.biz.EntityInfo,java.util.Map<java.lang.String,java.lang.String>,java.util.Map<java.lang.String,java.lang.String>]",false,95,23,8,1,7,34,56,161,0,18,5,56,2,1,0,0,0,5,2,1,53,4,1,0,0,12,59,10,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setHighLight/2[java.util.List<org.dromara.easyes.core.biz.HighLightParam>,org.dromara.easyes.core.core.SearchSourceBuilder]",false,402,5,3,1,2,3,18,19,1,3,2,18,0,0,0,0,0,0,0,0,2,0,2,0,0,1,12,10,0,true
