file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"initSearchSourceBuilder/2[org.dromara.easyes.core.core.Wrapper<?>,java.lang.Class<?>]",entityClass,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"initSearchSourceBuilder/2[org.dromara.easyes.core.core.Wrapper<?>,java.lang.Class<?>]",mappingColumnMap,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"initSearchSourceBuilder/2[org.dromara.easyes.core.core.Wrapper<?>,java.lang.Class<?>]",entityInfo,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"initSearchSourceBuilder/2[org.dromara.easyes.core.core.Wrapper<?>,java.lang.Class<?>]",wrapper,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"initSearchSourceBuilder/2[org.dromara.easyes.core.core.Wrapper<?>,java.lang.Class<?>]",searchSourceBuilder,10
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",cursor,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",aggParam,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",aggregationParamList,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",mappingColumnMap,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",distinctField,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",root,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",builder,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",wrapper,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",searchSourceBuilder,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"setAggregations/3[org.dromara.easyes.core.core.Wrapper<?>,java.util.Map<java.lang.String,java.lang.String>,org.dromara.easyes.core.core.SearchSourceBuilder]",realField,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"includeId/2[java.lang.String,org.dromara.easyes.core.core.Wrapper<?>]",idField,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"includeId/2[java.lang.String,org.dromara.easyes.core.core.Wrapper<?>]",wrapper,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/easy-es/../../easy-es/easy-es-core/src/main/java/org/dromara/easyes/core/core/WrapperProcessor.java,org.dromara.easyes.core.core.WrapperProcessor,"getBool/4[java.util.List<org.dromara.easyes.core.biz.Param>,org.dromara.easyes.core.core.BoolQueryBuilder,org.dromara.easyes.core.biz.EntityInfo,java.lang.String]",path,2
