file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/importlibs/informixcli/src/com/scudata/lib/informix/function/ImSetFrag.java,com.scudata.lib.informix.function.ImSetFrag,class,10,11,1,10,6,3,0,13,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,1,36,3,1,1,0,0,7,5,9,2,6,1,0,0,0,28,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/src/main/java/com/scudata/chart/ObjectElement.java,com.scudata.chart.ObjectElement,class,8,17,9,8,20,1,6,32,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,73,0,1,2,1,0,13,3,13,1,11,4,0,0,0,43,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/src/main/java/com/scudata/ide/spl/GMSpl.java,com.scudata.ide.spl.GMSpl,class,45,59,14,45,178,2,0,141,294,0.95,0.0,0.0,25,25,21,4,0,0,21,0,0,0,8,8,7,1,0,0,8,0,46,640,57,29,54,8,16,15,57,158,28,142,5,3,0,0,193,1,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/src/main/java/com/scudata/ide/spl/chart/box/ArrowComboBox.java,com.scudata.ide.spl.chart.box.ArrowComboBox$ArrowComboBoxEditor,innerclass,2,2,0,2,5,2,0,5,2,0.6,0.4,0.6,5,0,5,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,1,21,2,0,0,0,1,1,0,4,0,3,0,0,0,0,20,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/src/main/java/com/scudata/server/odbc/ResultSetProxy.java,com.scudata.server.odbc.ResultSetProxy,class,8,11,3,8,14,2,0,11,0,0.5555556,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,66,5,0,6,0,0,2,5,16,2,8,4,0,0,0,33,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/src/main/java/com/scudata/ide/spl/dialog/DialogOdbcConfig.java,com.scudata.ide.spl.dialog.DialogOdbcConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,1,0,1,0,0,0,0,9,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/src/main/java/com/scudata/ide/spl/dialog/DialogOdbcConfig.java,com.scudata.ide.spl.dialog.DialogOdbcConfig$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/src/main/java/com/scudata/ide/spl/etl/element/CsJoin.java,com.scudata.ide.spl.etl.element.CsJoin,class,1,1,0,1,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/src/main/java/com/scudata/ide/spl/etl/element/CsFetch.java,com.scudata.ide.spl.etl.element.CsFetch,class,4,5,1,4,12,2,0,12,19,0.78571427,0.04761905,0.04761905,7,0,7,0,0,0,7,0,0,0,4,0,4,0,0,0,0,0,0,58,7,0,0,0,0,10,0,11,0,11,1,0,0,0,37,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/esProc/../../esProc/src/main/java/com/scudata/dm/op/IPipe.java,com.scudata.dm.op.IPipe,interface,2,9,7,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
