file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/dom/persistent/DefaultDocumentSet.java,org.exist.dom.persistent.DefaultDocumentSet,class,16,25,9,16,56,1,0,47,173,0.84057975,0.15810277,0.3083004,23,0,23,0,0,0,23,0,0,0,6,2,0,6,0,0,6,0,1,200,23,10,4,1,2,2,3,38,0,36,3,0,0,0,97,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/dom/persistent/AVLTreeNodeSet.java,org.exist.dom.persistent.AVLTreeNodeSet,class,13,16,3,13,94,3,0,35,190,0.7356322,0.29347825,0.4384058,29,1,24,5,0,0,24,0,4,0,3,0,0,3,0,0,0,0,2,542,44,11,34,0,1,1,15,59,4,29,5,0,2,0,72,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/test/java/org/exist/security/UnixStylePermissionTest.java,org.exist.security.UnixStylePermissionTest$TestableUnixStylePermission,innerclass,1,1,0,1,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/xmldb/LocalXMLResource.java,org.exist.xmldb.LocalXMLResource$StoredNodeIdentity,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/xquery/functions/fn/transform/Convert.java,org.exist.xquery.functions.fn.transform.Convert$ToSaxon,innerclass,22,22,0,22,23,1,0,30,36,0.0,0.0,0.0,9,3,0,3,0,6,6,1,0,0,0,0,0,0,0,0,0,0,12,81,15,2,2,1,4,11,2,14,4,13,3,0,0,0,64,1032,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/test/java/org/exist/storage/CopyCollectionRecoveryTest.java,org.exist.storage.CopyCollectionRecoveryTest,class,19,20,1,19,15,1,0,49,10,0.33333334,0.6,0.6,12,0,5,7,0,0,5,0,0,0,1,0,1,0,0,0,0,0,5,151,1,0,3,9,0,33,0,55,1,45,2,0,0,0,94,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/test/java/org/exist/validation/DtdEntityTest.java,org.exist.validation.DtdEntityTest,class,4,4,0,4,4,1,0,10,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,27,2,0,0,2,0,15,0,5,1,5,1,0,0,0,62,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/xquery/functions/securitymanager/IdFunction.java,org.exist.xquery.functions.securitymanager.IdFunction,class,12,14,2,12,12,2,0,20,10,0.8,0.0,0.0,5,1,2,3,0,0,2,0,0,0,1,1,1,0,0,0,1,0,3,66,6,2,4,1,0,13,1,5,2,5,2,0,0,0,84,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/test/java/org/exist/util/hashtable/SequencedLongHashMapTest.java,org.exist.util.hashtable.SequencedLongHashMapTest,class,7,7,0,7,26,1,0,20,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,129,0,17,1,0,1,8,101,46,6,43,2,0,0,0,54,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/extensions/expath/src/main/java/org/expath/tools/model/exist/EXistElement.java,org.expath.tools.model.exist.EXistElement$IterableElement,innerclass,3,3,0,3,3,1,0,0,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,0,14,1,0,0,0,0,0,0,4,0,2,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/client/TriggersDialog.java,org.exist.client.TriggersDialog$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/storage/BrokerPool.java,org.exist.storage.BrokerPool$StatusReporter,innerclass,1,1,0,1,6,2,0,4,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,1,2,0,0,2,0,0,0,0,0,31,0,1,0,1,0,0,1,4,0,2,3,0,0,0,14,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/stax/ExtendedXMLStreamReader.java,org.exist.stax.ExtendedXMLStreamReader,interface,2,4,2,2,3,1,0,0,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,23,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/client/ClientFrame.java,org.exist.client.ClientFrame$BinaryFileFilter,innerclass,1,1,0,1,3,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,1,0,0,0,0,1,0,0,0,8,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/extensions/security/ldap/src/main/java/org/exist/security/realm/ldap/LDAPRealm.java,org.exist.security.realm.ldap.LDAPRealm$AuthenticatedLdapSubjectAccreditedImpl,innerclass,2,2,0,2,2,2,0,0,0,0.0,-1.0,-1.0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,18,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/xquery/xqdoc/XQDocHelper.java,org.exist.xquery.xqdoc.XQDocHelper,class,8,11,3,8,34,1,0,30,2,0.5277778,0.39285713,0.53571427,9,3,6,1,2,0,8,0,0,0,4,0,0,4,0,0,0,0,4,109,7,5,11,1,0,8,13,24,0,20,3,0,0,0,72,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/xquery/modules/ModuleUtils.java,org.exist.xquery.modules.ModuleUtils$ContextMapEntryModifier,innerclass,3,3,0,3,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,1033,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/xquery/functions/securitymanager/FindGroupFunction.java,org.exist.xquery.functions.securitymanager.FindGroupFunction,class,15,16,1,15,13,2,0,22,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,12,12,6,6,0,0,12,0,3,65,1,1,0,0,0,31,5,28,0,23,3,0,0,0,123,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/extensions/expath/src/main/java/org/expath/exist/ZipEntryFunctions.java,org.expath.exist.ZipEntryFunctions$ZipFileSource,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/validation/resolver/unstable/eXistLSResourceResolver.java,org.exist.validation.resolver.unstable.eXistLSResourceResolver,class,8,9,1,8,6,1,0,9,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,2,0,2,0,0,2,0,0,36,2,0,0,1,0,5,0,11,1,6,2,0,0,0,48,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/client/security/AutoCompletion.java,org.exist.client.security.AutoCompletion$Anonymous2,anonymous,1,1,0,1,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/client/security/AutoCompletion.java,org.exist.client.security.AutoCompletion$Anonymous1,anonymous,0,0,0,0,5,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,3,0,0,1,0,0,0,11,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/http/servlets/EXistServlet.java,org.exist.http.servlets.EXistServlet,class,15,16,1,15,98,3,0,62,3,0.6666667,0.6388889,0.7777778,11,0,2,2,7,0,9,0,0,0,3,2,0,3,0,0,2,0,15,402,16,1,19,16,1,32,3,60,8,46,3,0,1,1,131,1,9
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/xquery/TryCatchExpression.java,org.exist.xquery.TryCatchExpression,class,24,29,5,24,68,2,0,82,253,0.89197534,0.5,0.5769231,27,0,13,14,0,0,13,0,0,0,12,10,0,12,0,0,12,0,2,359,16,8,17,5,13,24,9,70,5,60,5,0,1,4,184,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/test/java/org/exist/xquery/OpNumericTest.java,org.exist.xquery.OpNumericTest,class,21,22,1,21,44,1,0,13,297,0.82790697,0.36707318,0.8573171,43,2,41,2,0,0,41,0,0,0,10,10,1,9,0,0,1,0,1,155,1,0,1,0,0,10,7,14,0,12,1,0,0,0,72,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/security/utils/Utils.java,org.exist.security.utils.Utils,class,5,7,2,5,4,1,0,5,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,2,0,0,2,0,3,1,2,1,0,0,0,27,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/util/GZIPInputSource.java,org.exist.util.GZIPInputSource,class,3,4,1,3,13,3,0,16,12,0.625,0.2857143,0.35714287,8,0,8,0,0,0,8,0,0,0,3,1,0,3,0,0,2,0,5,63,4,0,0,4,0,0,1,6,0,4,4,0,0,0,87,17,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/exist/../../exist/exist-core/src/main/java/org/exist/backup/Restore.java,org.exist.backup.Restore,class,17,19,2,17,24,1,0,45,10,0.8,NaN,NaN,5,0,1,4,0,0,1,0,0,0,1,1,0,1,0,0,1,0,6,102,4,3,9,2,1,16,7,27,3,21,4,0,0,0,116,1,0
