file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-oracle-cdc/src/test/java/com/ververica/cdc/connectors/oracle/OracleSourceTest.java,com.ververica.cdc.connectors.oracle.OracleSourceTest$TestingListState,innerclass,3,3,0,3,8,1,0,7,0,0.5,0.52380955,0.71428573,7,0,6,0,0,1,7,0,0,0,2,0,0,2,0,0,1,0,0,31,3,0,1,0,0,2,0,3,0,3,1,0,0,1,21,26,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/main/java/com/ververica/cdc/connectors/sqlserver/SqlServerSource.java,com.ververica.cdc.connectors.sqlserver.SqlServerSource$Builder,innerclass,7,7,0,7,14,1,0,8,27,0.8000001,0.17777778,0.8,10,0,10,0,0,0,10,0,0,0,9,0,0,9,0,0,0,0,3,75,10,0,2,0,0,14,1,12,0,10,1,0,0,0,86,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/main/java/com/ververica/cdc/connectors/postgres/source/PostgresConnectionPoolFactory.java,com.ververica.cdc.connectors.postgres.source.PostgresConnectionPoolFactory,class,4,5,1,4,2,2,0,6,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1,12,2,0,0,0,0,1,1,4,0,4,0,0,0,0,53,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-vitess-cdc/src/test/java/com/ververica/cdc/connectors/vitess/container/VitessContainer.java,com.ververica.cdc.connectors.vitess.container.VitessContainer,class,2,6,4,2,16,2,0,7,95,0.90000004,0.04761905,0.04761905,15,0,13,0,2,0,15,0,0,0,8,5,4,4,0,0,5,0,1,68,13,0,0,1,0,19,3,12,4,8,1,0,0,0,52,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/test/java/com/ververica/cdc/connectors/mongodb/LegacyMongoDBSourceTest.java,com.ververica.cdc.connectors.mongodb.LegacyMongoDBSourceTest$TestingListState,innerclass,3,3,0,3,8,1,0,7,0,0.5,0.52380955,0.71428573,7,0,6,0,0,1,7,0,0,0,2,0,0,2,0,0,1,0,0,31,3,0,1,0,0,2,0,3,0,3,1,0,0,1,21,26,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-vitess-cdc/src/test/java/com/ververica/cdc/connectors/vitess/VitessSourceTest.java,com.ververica.cdc.connectors.vitess.VitessSourceTest$ForwardDeserializeSchema,innerclass,4,4,0,4,2,1,0,2,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,1,0,0,0,0,0,1,1,0,1,0,0,0,0,19,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-runtime/src/main/java/com/ververica/cdc/runtime/serializer/event/AddColumnEventSerializer.java,com.ververica.cdc.runtime.serializer.event.AddColumnEventSerializer,class,12,15,3,12,10,4,0,12,39,0.875,0.06666667,0.06666667,10,0,10,0,0,0,10,0,0,0,4,2,1,3,0,0,4,0,2,42,8,0,0,0,0,1,2,4,0,4,0,0,1,0,49,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/com/ververica/cdc/connectors/mysql/source/utils/RecordUtilsTest.java,com.ververica.cdc.connectors.mysql.source.utils.RecordUtilsTest,class,3,4,1,3,3,1,0,10,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35,34,0,0,0,0,0,16,43,0,0,0,0,0,0,0,23,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/com/ververica/cdc/connectors/mysql/source/assigners/state/ChunkSplitterState.java,com.ververica.cdc.connectors.mysql.source.assigners.state.ChunkSplitterState$ChunkBoundType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-runtime/src/main/java/com/ververica/cdc/runtime/partitioning/PrePartitionOperator.java,com.ververica.cdc.runtime.partitioning.PrePartitionOperator,class,19,23,4,19,14,2,0,24,12,0.725,0.6666667,1.0,8,0,3,5,0,0,3,0,0,0,5,1,0,5,0,0,3,0,3,100,3,1,0,1,2,2,2,11,1,10,1,1,1,0,77,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-common/src/main/java/com/ververica/cdc/common/event/DataChangeEvent.java,com.ververica.cdc.common.event.DataChangeEvent,class,6,32,26,6,23,1,0,8,0,0.5648148,0.7205882,1.0,18,8,17,1,0,0,17,0,0,0,6,1,0,6,0,0,6,0,9,78,19,0,3,0,1,8,1,8,2,8,1,0,0,0,70,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-tidb-cdc/src/main/java/com/ververica/cdc/connectors/tidb/table/RowDataTiKVChangeEventDeserializationSchema.java,com.ververica.cdc.connectors.tidb.table.RowDataTiKVChangeEventDeserializationSchema,class,13,14,1,13,9,2,0,16,1,0.6666667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,1,47,1,0,2,1,0,2,1,10,1,8,2,0,0,0,64,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/test/java/com/ververica/cdc/connectors/mongodb/LegacyMongoDBSourceTest.java,com.ververica.cdc.connectors.mongodb.LegacyMongoDBSourceTest$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/test/java/com/ververica/cdc/connectors/mongodb/LegacyMongoDBSourceTest.java,com.ververica.cdc.connectors.mongodb.LegacyMongoDBSourceTest$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/com/ververica/cdc/connectors/mysql/table/MySqlTableSourceFactory.java,com.ververica.cdc.connectors.mysql.table.MySqlTableSourceFactory,class,22,24,2,22,37,1,0,53,87,0.8660714,0.16666667,0.16666667,14,4,4,10,0,0,4,0,0,0,8,8,0,8,0,0,8,0,31,182,14,0,3,2,2,17,15,47,0,47,2,0,0,0,193,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-common/src/main/java/com/ververica/cdc/common/sink/FlinkSinkFunctionProvider.java,com.ververica.cdc.common.sink.FlinkSinkFunctionProvider,interface,5,6,1,5,2,1,0,0,1,0.0,0.0,0.0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/test/java/com/ververica/cdc/connectors/mongodb/LegacyMongoDBSourceTest.java,com.ververica.cdc.connectors.mongodb.LegacyMongoDBSourceTest$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/test/java/com/ververica/cdc/connectors/mongodb/LegacyMongoDBSourceTest.java,com.ververica.cdc.connectors.mongodb.LegacyMongoDBSourceTest$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/com/ververica/cdc/connectors/mysql/source/metrics/MySqlSourceReaderMetrics.java,com.ververica.cdc.connectors.mysql.source.metrics.MySqlSourceReaderMetrics,class,2,8,6,2,4,1,0,1,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,16,1,0,0,0,0,0,1,3,0,2,0,0,0,0,32,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-common/src/main/java/com/ververica/cdc/common/types/IntType.java,com.ververica.cdc.common.types.IntType,class,5,15,10,5,6,2,0,3,15,0.9166666,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,2,0,2,0,0,2,0,1,22,4,0,0,0,0,1,1,2,0,2,0,0,0,0,37,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flink-cdc-connectors/../../flink-cdc-connectors/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-oracle-cdc/src/test/java/com/ververica/cdc/connectors/oracle/OracleSourceTest.java,com.ververica.cdc.connectors.oracle.OracleSourceTest$MockFunctionInitializationContext,innerclass,3,3,0,3,5,1,0,0,6,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,20,2,0,0,0,0,0,0,2,0,2,0,0,0,0,19,10,0
