file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/database/sqlite/SQLiteTable.java,org.flywaydb.core.internal.database.sqlite.SQLiteTable,"SQLiteTable/4[org.flywaydb.core.internal.database.sqlite.JdbcTemplate,org.flywaydb.core.internal.database.sqlite.SQLiteDatabase,org.flywaydb.core.internal.database.sqlite.SQLiteSchema,java.lang.String]",SQLITE_SEQUENCE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/database/sqlite/SQLiteTable.java,org.flywaydb.core.internal.database.sqlite.SQLiteTable,"SQLiteTable/4[org.flywaydb.core.internal.database.sqlite.JdbcTemplate,org.flywaydb.core.internal.database.sqlite.SQLiteDatabase,org.flywaydb.core.internal.database.sqlite.SQLiteSchema,java.lang.String]",undroppable,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/database/sqlite/SQLiteTable.java,org.flywaydb.core.internal.database.sqlite.SQLiteTable,doDrop/0,undroppable,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-commandline/src/main/java/org/flywaydb/commandline/configuration/CommandLineArguments.java,org.flywaydb.commandline.configuration.CommandLineArguments$Color,fromString/1[java.lang.String],AUTO,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-commandline/src/main/java/org/flywaydb/commandline/configuration/CommandLineArguments.java,org.flywaydb.commandline.configuration.CommandLineArguments$Color,fromString/1[java.lang.String],value,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-commandline/src/main/java/org/flywaydb/commandline/configuration/CommandLineArguments.java,org.flywaydb.commandline.configuration.CommandLineArguments$Color,isValid/1[java.lang.String],value,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/resolver/script/ScriptMigrationResolver.java,org.flywaydb.core.internal.resolver.script.ScriptMigrationResolver,resolveCallbacks/0,suffixes,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/resolver/script/ScriptMigrationResolver.java,org.flywaydb.core.internal.resolver.script.ScriptMigrationResolver,resolveCallbacks/0,statementInterceptor,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/resolver/script/ScriptMigrationResolver.java,org.flywaydb.core.internal.resolver.script.ScriptMigrationResolver,resolveCallbacks/0,configuration,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/resolver/script/ScriptMigrationResolver.java,org.flywaydb.core.internal.resolver.script.ScriptMigrationResolver,resolveCallbacks/0,scriptCallbacks,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/resolver/script/ScriptMigrationResolver.java,org.flywaydb.core.internal.resolver.script.ScriptMigrationResolver,resolveCallbacks/0,parsingContext,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/resolver/script/ScriptMigrationResolver.java,org.flywaydb.core.internal.resolver.script.ScriptMigrationResolver,resolveCallbacks/0,resourceProvider,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/resolver/script/ScriptMigrationResolver.java,org.flywaydb.core.internal.resolver.script.ScriptMigrationResolver,"addMigrations/4[org.flywaydb.core.internal.resolver.script.MigrationType,java.util.List<org.flywaydb.core.internal.resolver.script.ResolvedMigration>,java.lang.String,boolean]",suffixes,1
