file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/license/FlywayInvalidLicenseKeyException.java,org.flywaydb.core.internal.license.FlywayInvalidLicenseKeyException,"FlywayInvalidLicenseKeyException/2[java.lang.String,java.lang.Exception]",true,24,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/license/FlywayInvalidLicenseKeyException.java,org.flywaydb.core.internal.license.FlywayInvalidLicenseKeyException,FlywayInvalidLicenseKeyException/0,true,19,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,22,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],false,28,1,0,0,0,2,3,14,1,6,1,3,0,0,0,0,1,0,6,0,6,0,1,0,0,0,27,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/authentication/ExternalAuthPropertiesProvider.java,org.flywaydb.core.internal.authentication.ExternalAuthPropertiesProvider,get/0,false,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"copyToString/2[java.io.InputStream,java.nio.charset.Charset]",false,80,1,2,1,1,1,3,5,1,1,2,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,30,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,readAsString/1[java.nio.file.Path],false,145,1,2,1,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"readResourceAsString/2[java.lang.ClassLoader,java.lang.String]",false,153,1,1,1,0,3,4,12,1,3,2,4,0,0,1,0,1,0,3,0,4,2,2,0,0,0,21,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,getAppDataFlywayCLILocation/0,false,193,1,1,0,1,1,1,4,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,10,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"copy/2[java.io.Reader,java.io.Writer]",false,95,2,2,1,1,2,4,14,0,2,2,4,0,0,1,1,1,1,0,3,2,0,2,0,0,0,22,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,readResourceAsString/1[java.lang.String],false,149,1,2,1,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
