file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/license/FlywayInvalidLicenseKeyException.java,org.flywaydb.core.internal.license.FlywayInvalidLicenseKeyException,"FlywayInvalidLicenseKeyException/2[java.lang.String,java.lang.Exception]",e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/license/FlywayInvalidLicenseKeyException.java,org.flywaydb.core.internal.license.FlywayInvalidLicenseKeyException,"FlywayInvalidLicenseKeyException/2[java.lang.String,java.lang.Exception]",message,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],vfsUtilsClass,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],virtualFileClass,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],vfsClass,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],getRealURLMethod,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],root,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],getRootMethod,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/scanner/classpath/jboss/JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,toStandardJavaUrl/1[java.net.URL],url,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"copyToString/2[java.io.InputStream,java.nio.charset.Charset]",in,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"copyToString/2[java.io.InputStream,java.nio.charset.Charset]",encoding,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"copyToString/2[java.io.InputStream,java.nio.charset.Charset]",out,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,readAsString/1[java.nio.file.Path],path,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"readResourceAsString/2[java.lang.ClassLoader,java.lang.String]",result,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"readResourceAsString/2[java.lang.ClassLoader,java.lang.String]",path,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"readResourceAsString/2[java.lang.ClassLoader,java.lang.String]",classLoader,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"readResourceAsString/2[java.lang.ClassLoader,java.lang.String]",reader,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"readResourceAsString/2[java.lang.ClassLoader,java.lang.String]",inputStream,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"readResourceAsString/2[java.lang.ClassLoader,java.lang.String]",ioe,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,getAppDataFlywayCLILocation/0,redgateAppData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"copy/2[java.io.Reader,java.io.Writer]",in,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/flyway/../../flyway/flyway-core/src/main/java/org/flywaydb/core/internal/util/FileUtils.java,org.flywaydb.core.internal.util.FileUtils,"copy/2[java.io.Reader,java.io.Writer]",bytesRead,2
