file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/java/org/apache/catalina/mbeans/ContextResourceMBean.java,org.apache.catalina.mbeans.ContextResourceMBean,class,5,6,1,5,16,3,0,21,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,64,6,0,4,0,0,18,0,8,1,7,2,0,0,0,64,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/java/javax/servlet/jsp/tagext/TagFileInfo.java,javax.servlet.jsp.tagext.TagFileInfo,class,0,0,0,0,4,1,0,0,6,0.75,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,80,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/java/org/apache/catalina/valves/ErrorReportValve.java,org.apache.catalina.valves.ErrorReportValve,class,10,11,1,10,64,4,0,77,45,0.7878788,0.11111111,0.11111111,11,0,8,1,2,0,10,0,0,0,3,0,0,3,0,0,1,0,8,282,16,3,17,7,4,65,13,54,3,35,4,0,0,0,180,1,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/java/org/apache/tomcat/util/buf/EncodedSolidusHandling.java,org.apache.tomcat.util.buf.EncodedSolidusHandling,enum,2,4,2,2,5,1,0,7,0,0.33333334,1.0,1.0,3,1,2,0,0,1,3,0,0,0,2,1,0,2,0,0,2,0,2,18,2,1,0,0,0,4,0,3,0,3,2,0,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/test/org/apache/catalina/loader/TestVirtualWebappLoader.java,org.apache.catalina.loader.TestVirtualWebappLoader,class,6,6,0,6,2,3,0,17,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,3,9,0,7,0,0,0,0,33,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/java/org/apache/el/parser/AstLambdaParameters.java,org.apache.el.parser.AstLambdaParameters,class,1,3,2,1,4,3,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,1,0,0,1,0,1,0,1,2,0,0,0,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/java/org/apache/catalina/tribes/group/interceptors/DomainFilterInterceptorMBean.java,org.apache.catalina.tribes.group.interceptors.DomainFilterInterceptorMBean,interface,1,2,1,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/test/org/apache/catalina/tribes/test/channel/TestMulticastPackages.java,org.apache.catalina.tribes.test.channel.TestMulticastPackages,class,17,19,2,17,21,1,0,27,0,0.375,0.75,0.75,8,1,8,0,0,0,8,0,0,0,5,0,0,5,0,0,0,0,15,184,0,9,3,0,4,22,39,25,12,24,2,1,2,0,63,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/java/org/apache/catalina/webresources/AbstractArchiveResource.java,org.apache.catalina.webresources.AbstractArchiveResource,class,6,9,3,6,41,3,2,26,175,0.8571429,0.1541502,0.36363637,23,0,16,0,7,0,23,1,5,0,7,0,0,7,0,0,5,0,1,195,28,1,3,3,0,5,11,22,5,17,3,0,1,0,71,1025,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/java/org/apache/tomcat/dbcp/dbcp2/PStmtKey.java,org.apache.tomcat.dbcp.dbcp2.PStmtKey$PreparedCallWithResultSetConcurrency,innerclass,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/framework-learning/../../framework-learning/tomcat9.0-source/test/org/apache/catalina/webresources/war/TestHandler.java,org.apache.catalina.webresources.war.TestHandler,class,3,4,1,3,6,1,0,10,15,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,1,9,2,9,0,0,0,0,40,1,0
