file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,class,9,13,4,9,33,1,0,33,39,0.82,0.027777778,0.027777778,10,10,9,1,0,0,9,0,0,2,5,5,2,3,0,0,2,0,18,184,9,1,6,3,2,18,43,38,21,23,2,3,0,0,74,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/Config.java,ftserver.Config,class,1,3,2,1,4,1,0,1,0,0.25,0.0,0.0,2,2,2,0,0,0,2,0,0,0,10,10,10,0,0,0,2,0,7,18,2,0,0,0,2,0,16,10,12,10,0,0,0,0,32,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/test/java/SocketPing.java,SocketPing,class,0,0,0,0,4,1,0,23,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,28,0,3,0,0,2,4,1,8,0,8,2,0,0,0,24,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/fts/Engine.java,ftserver.fts.Engine$Anonymous3$Anonymous4,anonymous,1,1,0,1,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,1,1,0,0,1,0,0,0,7,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/ReadonlyIndexServer.java,ftserver.ReadonlyIndexServer,class,4,5,1,4,1,3,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,31,1,0,0,0,0,0,0,2,0,2,0,0,1,0,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/test/java/ftserver/zdemo/recommendingSystem/DemoMainClass.java,ftserver.zdemo.recommendingSystem.DemoMainClass$Anonymous1,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,2,1,1,1,0,0,0,3,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/fts/Engine.java,ftserver.fts.Engine$MaxID,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,2,0,2,0,0,0,0,6,24,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/fts/Engine.java,ftserver.fts.Engine$Anonymous5,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexAPI.java,ftserver.IndexAPI,class,14,17,3,14,54,1,0,45,45,0.0,0.0,0.0,10,10,6,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,271,15,13,11,5,2,10,33,64,12,36,5,1,1,0,71,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/fts/Engine.java,ftserver.fts.Engine$Anonymous7,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0
