file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,shutdown/0,backgroundThread,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,shutdown/0,isShutdown,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,start/0,backgroundThread,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,start/0,isShutdown,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"runBGTask/2[java.util.HashSet<java.lang.String>,boolean]",backgroundThreadQueue,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"runBGTask/2[java.util.HashSet<java.lang.String>,boolean]",isShutdown,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,addSearchTerm/1[java.lang.String],SystemShutdown,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"runBGTask/2[java.lang.String,java.lang.String]",backgroundThreadQueue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/Config.java,ftserver.Config,minCache/0,Readonly_CacheLength,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/Config.java,ftserver.Config,minCache/0,ItemConfig_SwapFileBuffer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/Config.java,ftserver.Config,minCache/0,ItemConfig_CacheLength,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/Config.java,ftserver.Config,minCache/0,Index_CacheLength,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/Config.java,ftserver.Config,minCache/0,Readonly_MaxDBCount,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/ReadonlyIndexServer.java,ftserver.ReadonlyIndexServer,BuildDatabaseConfig/1[long],OutOfCache,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/ReadonlyList.java,ftserver.ReadonlyList,close/0,list,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/ReadonlyList.java,ftserver.ReadonlyList,"add/2[long,boolean]",list,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/ReadonlyList.java,ftserver.ReadonlyList,switchIndexToReadonly/0,list,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/ReadonlyList.java,ftserver.ReadonlyList,get/1[int],list,3
