file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,shutdown/0,false,225,1,2,1,1,2,4,11,0,0,0,4,0,0,0,0,1,0,1,0,1,0,1,0,0,0,9,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",false,85,6,9,1,8,8,14,36,3,7,3,14,1,1,0,2,0,2,8,8,11,16,2,0,0,0,25,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,start/0,false,193,0,2,1,1,1,2,32,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,19,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"backgroundLog/2[java.lang.String,java.lang.String]",false,174,1,2,1,1,3,2,12,0,0,2,2,0,0,0,1,0,0,4,0,0,3,1,0,0,0,6,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,discover/0,false,56,1,2,0,2,1,4,13,1,2,0,4,0,0,0,0,1,0,0,21,2,0,1,0,0,0,4,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"runBGTask/2[java.util.HashSet<java.lang.String>,boolean]",false,141,1,3,1,2,9,3,27,1,3,2,3,0,0,1,1,0,0,0,5,5,0,2,1,0,0,23,42,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"getDesc/3[java.lang.String,ftserver.fts.KeyWord,int]",false,49,2,1,0,1,2,1,6,2,0,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,addSearchTerm/1[java.lang.String],false,15,1,2,1,1,5,8,24,1,4,1,8,0,0,0,1,1,0,1,7,10,2,1,0,0,0,17,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"runBGTask/2[java.lang.String,java.lang.String]",false,126,0,1,0,1,1,1,13,0,2,2,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,16,41,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,getSearchTerm/1[int],false,45,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,9,0,false
