file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,shutdown/0,ex,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",isKeyPage,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",p,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",userDescription,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",subUrls,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",textOrder,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",dbaddr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",begin,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",indexend,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",url,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"addPage/3[java.lang.String,java.lang.String,boolean]",ioend,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"backgroundLog/2[java.lang.String,java.lang.String]",output,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"backgroundLog/2[java.lang.String,java.lang.String]",url,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,discover/0,result,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,discover/0,box,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"runBGTask/2[java.util.HashSet<java.lang.String>,boolean]",isKeyPage,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"runBGTask/2[java.util.HashSet<java.lang.String>,boolean]",subUrls,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ftserver/../../ftserver/FTServer/src/main/java/ftserver/IndexPage.java,ftserver.IndexPage,"runBGTask/2[java.util.HashSet<java.lang.String>,boolean]",max_background,4
