file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/examples/java/src/collections/ship/index/Sample.java,collections.ship.index.Sample$PopulateDatabase,innerclass,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/src/frontend/org/voltdb/compiler/DDLCompiler.java,org.voltdb.compiler.DDLCompiler$DDLStatement,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/src/frontend/edu/brown/rand/RandomDistribution.java,edu.brown.rand.RandomDistribution$PowerLaw,innerclass,1,1,0,1,4,3,0,3,0,0.5,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,1,0,2,0,0,2,0,5,18,1,0,0,0,3,4,5,6,6,5,1,0,0,0,40,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/examples/sql/adf/EX_ADF/Model/src/model/entity/SuppliersEOImpl.java,model.entity.SuppliersEOImpl,class,6,16,10,6,26,2,0,17,152,0.85714287,0.031578947,0.031578947,20,2,17,0,3,0,20,0,0,1,7,7,7,0,0,0,7,0,8,156,13,0,2,0,4,4,2,11,4,10,2,0,1,0,104,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/src/frontend/edu/brown/catalog/special/CountedStatement.java,edu.brown.catalog.special.CountedStatement,class,2,14,12,2,7,1,0,3,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,0,2,0,0,0,2,0,0,23,4,0,2,0,5,1,2,3,3,3,1,0,0,0,15,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/test/java/compat/src/com/sleepycat/collections/test/CollectionTest.java,com.sleepycat.collections.test.CollectionTest$Anonymous9,anonymous,1,1,0,1,2,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,2,4,0,3,1,0,0,0,18,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/test/java/compat/src/com/sleepycat/persist/test/BindingTest.java,com.sleepycat.persist.test.BindingTest$Basic,innerclass,5,5,0,5,6,1,0,3,0,0.45833337,0.8333333,1.0,6,0,4,2,0,0,4,0,0,0,4,0,0,4,0,0,0,0,2,30,3,0,0,0,0,1,0,5,1,5,0,0,0,0,20,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/test/java/compat/src/com/sleepycat/collections/test/CollectionTest.java,com.sleepycat.collections.test.CollectionTest$Anonymous8,anonymous,1,1,0,1,3,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,2,7,0,5,2,0,0,0,22,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/test/java/compat/src/com/sleepycat/collections/test/CollectionTest.java,com.sleepycat.collections.test.CollectionTest$Anonymous7,anonymous,1,1,0,1,15,1,0,23,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,97,0,12,0,4,0,0,9,19,4,10,3,0,0,0,20,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/examples/java/src/persist/PersonExample.java,persist.PersonExample$Employer,innerclass,4,4,0,4,2,1,0,0,1,0.8333333,NaN,NaN,2,0,0,1,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,1,0,1,0,3,0,0,0,0,12,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/src/frontend/edu/brown/rand/WrappingRandomDistribution.java,edu.brown.rand.WrappingRandomDistribution,class,1,1,0,1,5,3,0,4,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,1,0,0,20,1,0,0,0,3,0,0,6,2,4,1,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/tests/frontend/edu/brown/costmodel/TestTimeIntervalCostModel.java,edu.brown.costmodel.TestTimeIntervalCostModel,class,19,19,0,19,19,3,0,35,0,0.6,0.8666667,1.0,6,0,5,0,1,0,6,0,0,0,10,8,0,10,0,0,6,0,2,177,0,7,2,0,15,5,36,53,17,50,1,2,0,0,102,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/test/java/compat/src/com/sleepycat/collections/test/CollectionTest.java,com.sleepycat.collections.test.CollectionTest$Anonymous6,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/test/java/compat/src/com/sleepycat/collections/test/CollectionTest.java,com.sleepycat.collections.test.CollectionTest$Anonymous5,anonymous,1,1,0,1,5,1,0,24,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1,2,1,0,0,3,9,1,5,3,0,0,0,31,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/tests/frontend/org/voltdb/planner/debugUpdateProc.java,org.voltdb.planner.debugUpdateProc,class,4,5,1,4,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,6,1,0,0,0,0,9,0,1,1,1,0,0,0,0,34,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/src/frontend/edu/brown/utils/StringAppender.java,edu.brown.utils.StringAppender,class,5,5,0,5,15,1,0,4,91,0.8,0.06666667,0.06666667,15,0,15,0,0,0,15,0,0,0,2,0,0,2,0,0,0,0,0,44,6,0,0,0,0,1,0,3,0,2,0,0,0,0,26,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/test/java/compat/src/com/sleepycat/persist/test/OperationTest.java,com.sleepycat.persist.test.OperationTest$StoredComparatorEntity$Key,innerclass,4,4,0,4,12,1,0,4,0,0.16666667,1.0,1.0,6,0,4,1,0,1,5,0,0,0,3,0,0,0,0,3,0,0,0,34,8,0,5,0,1,1,7,7,2,5,1,0,0,0,19,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/src/hsqldb19b3/org/hsqldb/lib/HsqlByteArrayOutputStream.java,org.hsqldb.lib.HsqlByteArrayOutputStream,class,4,16,12,4,51,2,1,13,0,0.27142859,0.6201681,0.63529414,35,0,35,0,0,0,35,0,3,0,2,0,0,0,2,0,0,0,6,189,5,6,1,0,11,0,48,56,16,19,3,0,0,0,94,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/h-store/../../h-store/third_party/cpp/berkeleydb/lang/sql/jdbc/SQLite/JDBC2z1/JDBCDatabaseMetaData.java,SQLite.JDBC2z1.JDBCDatabaseMetaData,class,11,14,3,11,345,1,0,32,16381,0.94505495,0.0022099447,0.0022099447,182,4,177,1,0,4,181,0,0,0,1,0,0,1,0,0,0,0,42,1258,202,21,63,19,25,486,175,298,73,172,5,0,0,0,330,1,0
