file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,executionStatus/0,executionState,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,"jobProcess/2[com.helicalinsight.hwf.component.JSONObject,com.helicalinsight.hwf.component.JSONObject]",executionState,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/utils/ApplicationContextAccessor.java,com.helicalinsight.efw.framework.utils.ApplicationContextAccessor,registerInstance/0,instance,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/ClassPathHacker.java,com.helicalinsight.efw.framework.ClassPathHacker,loadPlugin/1[java.lang.String],logger,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/ClassPathHacker.java,com.helicalinsight.efw.framework.ClassPathHacker,loadPlugin/1[java.lang.String],pluginFinder,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/ClassPathHacker.java,com.helicalinsight.efw.framework.ClassPathHacker,getClass/1[java.lang.String],logger,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,getBaseType/0,baseType,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,getType/0,type,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,setDataSourceProvider/1[java.lang.String],dataSourceProvider,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,getLookUpName/0,lookUpName,1
