file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/resourcesecurity/IAccessLevel.java,com.helicalinsight.resourcesecurity.IAccessLevel,accessLevel/0,false,26,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],false,52,2,3,1,2,16,14,73,1,12,1,14,0,0,2,6,0,8,29,22,14,1,2,0,0,0,24,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],false,23,3,6,0,6,1,10,18,1,9,1,10,1,1,0,0,0,0,9,0,12,0,0,0,0,0,27,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,executionStatus/0,false,61,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,"jobProcess/2[com.helicalinsight.hwf.component.JSONObject,com.helicalinsight.hwf.component.JSONObject]",false,39,3,3,0,3,1,6,13,1,4,2,6,0,0,0,0,0,0,10,0,5,0,0,0,0,0,19,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/IJdbcService.java,com.helicalinsight.datasource.managed.IJdbcService,"execute/3[java.lang.String,java.lang.Integer,java.lang.String]",false,28,1,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/utils/ApplicationContextAccessor.java,com.helicalinsight.efw.framework.utils.ApplicationContextAccessor,getBean/1[java.lang.Class<T>],false,33,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/utils/ApplicationContextAccessor.java,com.helicalinsight.efw.framework.utils.ApplicationContextAccessor,registerInstance/0,false,42,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/utils/ApplicationContextAccessor.java,com.helicalinsight.efw.framework.utils.ApplicationContextAccessor,getBean/1[java.lang.String],false,37,0,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/export/src/main/java/com/helicalinsight/export/components/GetTemplate.java,com.helicalinsight.export.components.GetTemplate,executeComponent/1[java.lang.String],false,40,2,2,0,2,1,7,10,1,6,1,7,0,0,0,0,0,0,3,0,6,1,0,0,0,0,20,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/export/src/main/java/com/helicalinsight/export/components/GetTemplate.java,com.helicalinsight.export.components.GetTemplate,isThreadSafeToCache/0,false,34,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/ClassPathHacker.java,com.helicalinsight.efw.framework.ClassPathHacker,loadPlugin/1[java.lang.String],false,84,4,4,1,3,3,7,12,1,1,1,7,1,1,0,0,1,0,2,0,1,0,1,0,0,0,20,2,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/ClassPathHacker.java,com.helicalinsight.efw.framework.ClassPathHacker,getClass/1[java.lang.String],false,49,1,5,3,2,3,5,11,2,0,1,5,2,3,0,0,1,0,2,0,0,1,2,0,0,0,66,1,1,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/ClassPathHacker.java,com.helicalinsight.efw.framework.ClassPathHacker,load/1[java.lang.String],false,61,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/ClassPathHacker.java,com.helicalinsight.efw.framework.ClassPathHacker,"getClassUsingPluginClassLoader/2[java.lang.String,com.helicalinsight.efw.framework.ParentLastClassLoader]",false,98,1,2,2,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/ClassPathHacker.java,com.helicalinsight.efw.framework.ClassPathHacker,getClasspathClass/1[java.lang.String],false,65,1,3,2,1,2,2,8,1,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,12,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/efw/framework/ClassPathHacker.java,com.helicalinsight.efw.framework.ClassPathHacker,getClassFromPlugin/1[java.lang.String],false,73,3,4,1,3,2,4,10,2,2,1,4,1,2,0,1,0,0,0,0,2,0,1,0,0,0,17,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/admin/dao/ProfileDao.java,com.helicalinsight.admin.dao.ProfileDao,delete/1[int],false,48,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/admin/dao/ProfileDao.java,com.helicalinsight.admin.dao.ProfileDao,add/1[com.helicalinsight.admin.model.Profile],false,32,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/admin/dao/ProfileDao.java,com.helicalinsight.admin.dao.ProfileDao,getProfile/1[int],false,57,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/admin/dao/ProfileDao.java,com.helicalinsight.admin.dao.ProfileDao,"getProfileByNameAndUserId/2[java.lang.String,int]",false,86,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/admin/dao/ProfileDao.java,com.helicalinsight.admin.dao.ProfileDao,"getProfileListByNameAndUserId/2[java.lang.String,int]",false,98,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/admin/dao/ProfileDao.java,com.helicalinsight.admin.dao.ProfileDao,edit/1[com.helicalinsight.admin.model.Profile],false,40,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/admin/dao/ProfileDao.java,com.helicalinsight.admin.dao.ProfileDao,getUserProfile/1[int],false,76,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/admin/dao/ProfileDao.java,com.helicalinsight.admin.dao.ProfileDao,getAllProfile/0,false,67,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,getBaseType/0,false,105,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,getType/0,false,97,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,setDataSourceProvider/1[java.lang.String],false,125,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,getLookUpName/0,false,129,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,"JndiDataSource/5[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,73,0,0,0,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,setLookUpName/1[java.lang.String],false,133,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,getShare/0,false,153,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/core/src/main/java/com/helicalinsight/datasource/managed/jaxb/JndiDataSource.java,com.helicalinsight.datasource.managed.jaxb.JndiDataSource,getName/0,false,89,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
