file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],chartData,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],chartTagDimensionsArrayLength,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],measures,12
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],chartTagDimensionsArray,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],chartUtilsObject,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],chartTagMeasuresArray,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],i,9
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],dataConfiguration,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],xyAxis,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],chartTagMeasuresArrayLength,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],measuresStack,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,dataConfiguration/1[com.helicalinsight.efw.vf.JSONObject],dimensions,12
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],chartData,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],chartConfiguration,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],dataConf,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],gridConf,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],dynamicJson,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],legendConfiguration,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],tooltipConf,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],c3conf,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],axisConfiguration,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/vf-plugin/src/main/java/com/helicalinsight/efw/vf/C3SplineChart.java,com.helicalinsight.efw.vf.C3SplineChart,getChartConfig/1[com.helicalinsight.efw.vf.JSONObject],colorPatternConfiguration,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,"jobProcess/2[com.helicalinsight.hwf.component.JSONObject,com.helicalinsight.hwf.component.JSONObject]",input,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,"jobProcess/2[com.helicalinsight.hwf.component.JSONObject,com.helicalinsight.hwf.component.JSONObject]",request,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,"jobProcess/2[com.helicalinsight.hwf.component.JSONObject,com.helicalinsight.hwf.component.JSONObject]",jdbcDriver,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,"jobProcess/2[com.helicalinsight.hwf.component.JSONObject,com.helicalinsight.hwf.component.JSONObject]",dataMap,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,"jobProcess/2[com.helicalinsight.hwf.component.JSONObject,com.helicalinsight.hwf.component.JSONObject]",connectionDetails,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/helicalinsight/../../helicalinsight/hwf/src/main/java/com/helicalinsight/hwf/component/ExecuteDbQuery.java,com.helicalinsight.hwf.component.ExecuteDbQuery,"jobProcess/2[com.helicalinsight.hwf.component.JSONObject,com.helicalinsight.hwf.component.JSONObject]",jobProcess,0
