file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,populateDb/1[org.hibernate.reactive.VertxTestContext],thePerson,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,findEntityWithElementCollectionWithStageAPI/1[org.hibernate.reactive.VertxTestContext],thePerson,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,setCollectionToNullWithStageAPI/1[org.hibernate.reactive.VertxTestContext],thePerson,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,addOneElementWithStageAPI/1[org.hibernate.reactive.VertxTestContext],thePerson,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,setNewElementCollectionWithStageAPI/1[org.hibernate.reactive.VertxTestContext],thePerson,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,clearCollectionOfElementsWithStageAPI/1[org.hibernate.reactive.VertxTestContext],thePerson,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,removeOneElementWithStageAPI/1[org.hibernate.reactive.VertxTestContext],thePerson,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,removePersonWithStageAPI/1[org.hibernate.reactive.VertxTestContext],thePerson,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,removeAndAddElementWithStageAPI/1[org.hibernate.reactive.VertxTestContext],thePerson,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,persistAnotherPersonWithStageAPI/1[org.hibernate.reactive.VertxTestContext],thePerson,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/CacheTest.java,org.hibernate.reactive.CacheTest$Named,Named/1[java.lang.String],name,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/event/impl/DefaultReactiveResolveNaturalIdEventListener.java,org.hibernate.reactive.event.impl.DefaultReactiveResolveNaturalIdEventListener,resolveNaturalId/1[org.hibernate.reactive.event.impl.ResolveNaturalIdEvent],LOG,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/containers/DB2Database.java,org.hibernate.reactive.containers.DB2Database,getExpectedNativeDatatype/1[java.lang.Class<?>],expectedDBTypeForClass,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/containers/DB2Database.java,org.hibernate.reactive.containers.DB2Database,address/0,db2,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/containers/DB2Database.java,org.hibernate.reactive.containers.DB2Database,getRegularJdbcUrl/0,db2,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/containers/DB2Database.java,org.hibernate.reactive.containers.DB2Database,buildJdbcUrlWithCredentials/1[java.lang.String],db2,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/containers/DB2Database.java,org.hibernate.reactive.containers.DB2Database,buildUriWithCredentials/1[java.lang.String],db2,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/types/SerializableExceptionTest.java,org.hibernate.reactive.types.SerializableExceptionTest$Basic,Basic/1[java.lang.String],string,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/types/SerializableExceptionTest.java,org.hibernate.reactive.types.SerializableExceptionTest$Basic,equals/1[java.lang.Object],string,1
