file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,"phonesContainNumber/2[org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest.Person,java.lang.String]",false,269,2,3,1,2,3,4,8,2,0,2,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,10,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,populateDb/1[org.hibernate.reactive.VertxTestContext],false,46,6,6,0,6,1,6,7,0,2,1,6,0,0,0,0,0,0,7,1,1,0,0,0,0,1,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,findEntityWithElementCollectionWithStageAPI/1[org.hibernate.reactive.VertxTestContext],false,73,4,2,0,2,1,7,3,0,2,1,7,0,0,0,0,0,0,3,0,0,0,0,0,0,2,18,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,setCollectionToNullWithStageAPI/1[org.hibernate.reactive.VertxTestContext],false,235,4,2,0,2,1,13,7,0,6,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,6,24,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,addOneElementWithStageAPI/1[org.hibernate.reactive.VertxTestContext],false,81,5,2,0,2,1,11,3,0,6,1,11,0,0,0,0,0,0,6,0,0,0,0,0,0,6,23,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,persistWithMutinyAPI/1[org.hibernate.reactive.VertxTestContext],false,56,5,4,0,4,1,10,7,0,5,1,10,0,0,0,0,0,0,7,1,2,0,0,0,0,3,19,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,setNewElementCollectionWithStageAPI/1[org.hibernate.reactive.VertxTestContext],false,142,6,2,0,2,1,15,9,0,6,1,15,0,0,0,0,0,0,3,0,0,0,1,0,0,6,27,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,persistCollectionWithNullsWithStageAPI/1[org.hibernate.reactive.VertxTestContext],false,216,5,5,0,5,1,12,7,0,6,1,12,0,0,0,0,0,0,6,1,1,0,0,0,0,5,23,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,annotatedEntities/0,false,41,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,clearCollectionOfElementsWithStageAPI/1[org.hibernate.reactive.VertxTestContext],false,109,4,2,0,2,1,13,7,0,6,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,6,24,1,0,false
