file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/io/HugeGryoModule.java,org.apache.hugegraph.io.HugeGryoModule,class,22,27,5,22,5,8,0,13,3,1.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,102,1,2,0,0,0,1,1,6,0,6,1,0,7,0,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/store/ram/RamMap.java,org.apache.hugegraph.backend.store.ram.RamMap,interface,0,3,3,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-mysql/src/main/java/org/apache/hugegraph/backend/store/mysql/MysqlTables.java,org.apache.hugegraph.backend.store.mysql.MysqlTables$PropertyKey,innerclass,2,2,0,2,2,4,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,20,0,0,0,0,0,0,0,2,0,1,0,0,0,0,21,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/store/TableDefine.java,org.apache.hugegraph.backend.store.TableDefine,class,2,31,29,2,12,1,0,14,0,0.45833334,0.71428573,1.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,3,46,5,1,3,0,0,1,3,10,1,6,2,0,0,0,19,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/StandardHugeGraph.java,org.apache.hugegraph.StandardHugeGraph$SysTransaction,innerclass,4,4,0,4,1,4,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-cassandra/src/main/java/org/apache/hugegraph/backend/store/cassandra/CassandraStore.java,org.apache.hugegraph.backend.store.cassandra.CassandraStore$CassandraGraphStore,innerclass,24,24,0,24,12,3,0,15,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,62,1,0,0,0,0,6,0,6,0,6,1,0,0,0,41,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/util/collection/ObjectIntMappingFactory.java,org.apache.hugegraph.util.collection.ObjectIntMappingFactory,class,5,9,4,5,3,1,0,1,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,73,2,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/store/raft/StoreCommand.java,org.apache.hugegraph.backend.store.raft.StoreCommand,class,5,14,9,5,11,1,0,5,9,0.65999997,0.2888889,0.62222224,10,3,10,0,0,0,10,0,0,0,5,1,1,4,0,0,5,0,1,53,7,0,1,0,0,1,9,12,1,8,1,0,0,0,30,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-hbase/src/main/java/org/apache/hugegraph/backend/store/hbase/HbaseTables.java,org.apache.hugegraph.backend.store.hbase.HbaseTables$SecondaryIndex,innerclass,2,2,0,2,1,4,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/Transaction.java,org.apache.hugegraph.backend.Transaction,interface,0,1,1,0,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-rocksdb/src/main/java/org/apache/hugegraph/backend/store/rocksdb/RocksDBTables.java,org.apache.hugegraph.backend.store.rocksdb.RocksDBTables$OlapRangeFloatIndex,innerclass,2,2,0,2,2,6,0,2,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-api/src/main/java/org/apache/hugegraph/server/ApplicationConfig.java,org.apache.hugegraph.server.ApplicationConfig$GraphManagerFactory,innerclass,9,9,0,9,5,2,0,4,4,0.5,0.16666667,0.16666667,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,43,1,0,1,0,0,1,0,2,0,2,1,1,0,0,26,2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/job/algorithm/cent/ClosenessCentralityAlgorithm.java,org.apache.hugegraph.job.algorithm.cent.ClosenessCentralityAlgorithm$Traverser,innerclass,5,5,0,5,7,4,0,18,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,2,0,0,3,3,6,0,3,0,0,0,0,27,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/task/TaskCallable.java,org.apache.hugegraph.task.TaskCallable$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-palo/src/main/java/org/apache/hugegraph/backend/store/palo/PaloTables.java,org.apache.hugegraph.backend.store.palo.PaloTables$SearchIndex,innerclass,1,1,0,1,1,7,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-api/src/main/java/org/apache/hugegraph/api/filter/LoadReleaseFilter.java,org.apache.hugegraph.api.filter.LoadReleaseFilter,class,9,9,0,9,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,10,1,0,0,0,0,0,0,1,0,2,1,0,0,0,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-api/src/main/java/org/apache/hugegraph/api/traversers/AdamicAdarAPI.java,org.apache.hugegraph.api.traversers.AdamicAdarAPI,class,18,18,0,18,1,2,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,14,1,0,0,1,0,13,0,6,1,6,1,0,0,0,70,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/util/collection/IntIterator.java,org.apache.hugegraph.util.collection.IntIterator$MapperInt2IntIterator$IntMapper,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/auth/HugeUser.java,org.apache.hugegraph.auth.HugeUser$P,innerclass,0,0,0,0,2,1,0,5,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,8,8,8,0,0,0,8,0,0,17,2,0,0,0,0,7,0,9,0,9,1,0,0,0,20,25,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/traversal/optimize/HugeCountStepStrategy.java,org.apache.hugegraph.traversal.optimize.HugeCountStepStrategy,class,19,21,2,19,20,2,0,14,10,0.9,0.0,0.0,5,1,4,1,0,0,5,0,0,0,2,2,0,2,0,0,2,0,2,54,7,2,2,0,2,2,3,10,0,9,2,0,0,1,46,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/traversal/algorithm/records/record/Int2ArrayRecord.java,org.apache.hugegraph.traversal.algorithm.records.record.Int2ArrayRecord,class,3,4,1,3,8,1,0,8,0,0.125,0.75,0.75,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,2,27,6,0,0,0,0,0,0,1,0,1,0,0,0,0,21,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-test/src/main/java/org/apache/hugegraph/core/RestoreCoreTest.java,org.apache.hugegraph.core.RestoreCoreTest,class,6,7,1,6,62,2,0,24,1891,0.0,0.0,0.0,62,0,62,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,62,387,0,0,0,0,0,244,68,63,0,63,0,0,0,49,46,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-cassandra/src/main/java/org/apache/hugegraph/backend/store/cassandra/CassandraFeatures.java,org.apache.hugegraph.backend.store.cassandra.CassandraFeatures,class,1,3,2,1,21,1,1,0,210,0.0,0.0,0.0,21,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,65,21,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-api/src/main/java/org/apache/hugegraph/api/traversers/ShortestPathAPI.java,org.apache.hugegraph.api.traversers.ShortestPathAPI,class,23,24,1,23,5,2,0,21,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,5,33,1,0,1,0,0,23,1,15,1,13,1,0,0,0,67,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-dist/src/main/java/org/apache/hugegraph/dist/RegisterUtil.java,org.apache.hugegraph.dist.RegisterUtil,class,12,18,6,12,25,1,0,29,55,0.90909094,0.0,0.0,11,11,10,1,0,0,11,0,0,0,1,1,0,1,0,0,1,0,26,111,0,2,1,2,0,79,0,9,12,9,1,0,0,0,65,1,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/structure/HugeVertexProperty.java,org.apache.hugegraph.structure.HugeVertexProperty,class,13,21,8,13,10,2,0,12,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,34,5,0,0,0,2,4,0,2,0,2,1,0,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/store/raft/rpc/ListPeersProcessor.java,org.apache.hugegraph.backend.store.raft.rpc.ListPeersProcessor,class,9,11,2,9,4,2,0,14,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,0,23,3,0,0,1,0,1,0,5,0,5,1,0,0,0,27,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/traversal/algorithm/NeighborRankTraverser.java,org.apache.hugegraph.traversal.algorithm.NeighborRankTraverser,class,12,13,1,12,30,3,0,62,30,0.77777785,1.0,1.0,9,0,2,7,0,0,2,0,0,0,3,1,1,2,0,0,3,0,11,195,7,12,1,0,1,4,14,41,11,38,5,0,3,0,77,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-palo/src/main/java/org/apache/hugegraph/backend/store/palo/PaloTables.java,org.apache.hugegraph.backend.store.palo.PaloTables$ShardIndex,innerclass,6,6,0,6,2,6,0,8,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,1,0,1,1,1,0,0,0,1,0,2,16,1,0,0,0,0,0,0,4,0,3,0,0,0,0,23,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-mysql/src/main/java/org/apache/hugegraph/backend/store/mysql/MysqlTables.java,org.apache.hugegraph.backend.store.mysql.MysqlTables$RangeIntIndex,innerclass,2,2,0,2,2,6,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,15,0,0,0,0,0,0,0,2,0,1,0,0,0,0,13,9,0
