file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/io/HugeGryoModule.java,org.apache.hugegraph.io.HugeGryoModule,"readEntry/2[org.apache.hugegraph.io.Kryo,org.apache.hugegraph.io.Input]",false,132,3,0,0,0,2,4,10,1,5,2,4,0,0,1,0,0,0,1,1,5,0,1,0,0,0,13,10,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/io/HugeGryoModule.java,org.apache.hugegraph.io.HugeGryoModule,"writeEntry/3[org.apache.hugegraph.io.Kryo,org.apache.hugegraph.io.Output,java.util.Map<org.apache.hugegraph.io.HugeKeys,java.lang.Object>]",false,122,3,4,4,0,2,8,7,0,0,3,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,10,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/io/HugeGryoModule.java,org.apache.hugegraph.io.HugeGryoModule,register/1[org.apache.hugegraph.io.HugeGraphIoRegistry],false,45,16,9,1,8,1,1,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/store/ram/RamMap.java,org.apache.hugegraph.backend.store.ram.RamMap,writeTo/1[java.io.DataOutputStream],false,30,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/store/ram/RamMap.java,org.apache.hugegraph.backend.store.ram.RamMap,size/0,false,28,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/store/ram/RamMap.java,org.apache.hugegraph.backend.store.ram.RamMap,clear/0,false,26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/store/ram/RamMap.java,org.apache.hugegraph.backend.store.ram.RamMap,readFrom/1[java.io.DataInputStream],false,32,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-mysql/src/main/java/org/apache/hugegraph/backend/store/mysql/MysqlTables.java,org.apache.hugegraph.backend.store.mysql.MysqlTables$PropertyKey,PropertyKey/0,true,247,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-mysql/src/main/java/org/apache/hugegraph/backend/store/mysql/MysqlTables.java,org.apache.hugegraph.backend.store.mysql.MysqlTables$PropertyKey,"PropertyKey/1[java.util.Map<java.lang.String,java.lang.String>]",true,251,1,3,0,3,1,2,14,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/incubator-hugegraph/../../incubator-hugegraph/hugegraph-server/hugegraph-core/src/main/java/org/apache/hugegraph/backend/store/TableDefine.java,org.apache.hugegraph.backend.store.TableDefine,columnNames/0,false,73,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
