file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/iotdb-core/consensus/src/main/java/org/apache/iotdb/consensus/IStateMachine.java,org.apache.iotdb.consensus.IStateMachine$EventApi,interface,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/storageengine/dataregion/wal/buffer/WALEntryValue.java,org.apache.iotdb.db.storageengine.dataregion.wal.buffer.WALEntryValue,interface,2,14,12,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/integration-test/src/test/java/org/apache/iotdb/db/it/aggregation/IoTDBAggregationByLevel2IT.java,org.apache.iotdb.db.it.aggregation.IoTDBAggregationByLevel2IT,class,7,7,0,7,2,2,0,7,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/iotdb-core/datanode/src/test/java/org/apache/iotdb/db/queryengine/plan/planner/distribution/AggregationDistributionTest.java,org.apache.iotdb.db.queryengine.plan.planner.distribution.AggregationDistributionTest,class,31,32,1,31,30,1,0,53,276,0.0,0.0,0.0,24,0,18,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,97,418,4,2,2,0,1,91,114,214,0,235,2,0,0,21,132,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/integration-test/src/test/java/org/apache/iotdb/session/it/IoTDBSessionSimpleIT.java,org.apache.iotdb.session.it.IoTDBSessionSimpleIT,class,26,27,1,26,141,1,0,115,575,0.85714287,0.022988506,0.022988506,35,0,30,5,0,0,30,0,0,0,1,1,0,1,0,0,0,0,94,1063,3,36,18,50,1,361,257,234,23,226,4,0,0,0,203,1,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/pipe/connector/protocol/thrift/async/IoTDBThriftAsyncConnector.java,org.apache.iotdb.db.pipe.connector.protocol.thrift.async.IoTDBThriftAsyncConnector,class,30,38,8,30,47,2,0,64,61,0.78947365,0.33333334,1.0,19,0,12,7,0,0,12,0,0,5,7,3,0,7,0,0,5,0,7,189,4,1,4,4,8,16,5,29,4,28,2,0,0,3,169,1,9
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/iotdb-core/datanode/src/test/java/org/apache/iotdb/db/queryengine/plan/planner/LogicalPlannerTest.java,org.apache.iotdb.db.queryengine.plan.planner.LogicalPlannerTest$Anonymous18$Anonymous19,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/utils/MemUtils.java,org.apache.iotdb.db.utils.MemUtils,class,13,16,3,13,33,1,0,17,66,0.9166667,0.0,0.0,12,11,11,1,0,0,11,0,0,0,1,1,0,1,0,0,1,0,6,126,14,6,6,0,8,5,34,45,26,19,2,0,0,0,102,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/example/session/src/main/java/org/apache/iotdb/DataMigrationExample.java,org.apache.iotdb.DataMigrationExample,class,6,7,1,6,5,1,0,16,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,4,4,0,4,0,0,2,0,2,122,0,2,1,0,0,12,8,15,2,12,1,0,1,0,69,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/example/udf/src/main/java/org/apache/iotdb/udf/UDAFExample.java,org.apache.iotdb.udf.UDAFExample,class,12,13,1,12,34,1,0,18,53,0.8181818,0.04761905,0.04761905,11,0,7,4,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,122,5,4,5,0,0,1,20,23,1,15,2,0,1,0,58,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/iotdb-core/datanode/src/test/java/org/apache/iotdb/db/queryengine/common/schematree/ClusterSchemaTreeTest.java,org.apache.iotdb.db.queryengine.common.schematree.ClusterSchemaTreeTest,class,22,24,2,22,59,1,1,85,323,0.9230769,0.008333334,0.008333334,26,0,14,10,2,0,16,0,0,0,1,1,0,1,0,0,1,0,23,487,7,28,2,0,6,338,249,163,21,107,3,0,0,0,135,1,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/iotdb/../../iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/utils/DateTimeUtils.java,org.apache.iotdb.db.utils.DateTimeUtils,class,5,9,4,5,101,1,0,67,229,0.95279723,0.0,0.0,22,21,21,1,0,0,45,0,0,0,26,26,26,0,0,0,26,0,46,383,43,2,5,2,3,34,104,85,37,55,3,0,1,0,162,1,0
