file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/BaseTypeImpl.java,com.marklogic.client.impl.BaseTypeImpl$ElementNodeSeqListImpl,innerclass,1,1,0,1,1,4,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RowManagerImpl.java,com.marklogic.client.impl.RowManagerImpl$RowSetRecord,innerclass,17,17,0,17,78,2,0,49,30,0.7777778,0.2,0.2,9,0,1,3,0,5,6,0,0,0,4,0,0,4,0,0,0,0,0,278,15,10,26,1,4,27,11,74,8,53,5,0,0,0,94,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api-functionaltests/src/test/java/com/marklogic/client/fastfunctest/TestStructuredSearchGeo.java,com.marklogic.client.fastfunctest.TestStructuredSearchGeo,class,11,11,0,11,6,4,0,31,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,68,0,2,0,0,0,37,12,28,5,28,2,0,0,0,70,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,class,2,4,2,2,22,2,0,7,0,0.5,1.0,1.0,8,0,6,2,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,67,7,0,10,0,3,3,3,9,2,5,1,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api-functionaltests/src/test/java/com/marklogic/client/fastfunctest/TestBug26248.java,com.marklogic.client.fastfunctest.TestBug26248$DocWriter,innerclass,5,5,0,5,6,1,0,10,0,0.26666668,1.0,1.0,3,0,2,0,0,1,3,0,0,0,5,1,0,0,0,5,0,0,1,30,0,0,0,1,0,5,1,5,4,5,1,0,0,0,27,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/expression/SchemaDefExpr.java,com.marklogic.client.expression.SchemaDefExpr,interface,2,6,4,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/datamovement/RowBatchSuccessListener.java,com.marklogic.client.datamovement.RowBatchSuccessListener$RowBatchResponseEvent,interface,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/query/StructuredQueryBuilder.java,com.marklogic.client.query.StructuredQueryBuilder$ValueQuery,innerclass,5,5,0,5,13,3,0,8,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,5,0,0,0,0,5,0,0,6,52,0,1,6,0,1,15,5,5,0,5,3,0,0,0,33,4,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/XsExprImpl.java,com.marklogic.client.impl.XsExprImpl$NegativeIntegerSeqCallImpl,innerclass,1,1,0,1,1,4,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RESTServices.java,com.marklogic.client.impl.RESTServices$CallField,innerclass,1,1,0,1,8,1,0,3,8,0.6,0.1,0.1,5,0,4,0,0,1,5,0,0,0,1,0,0,1,0,0,1,0,0,20,5,0,2,0,1,0,0,2,0,2,1,0,0,0,16,1024,0
