file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RowManagerImpl.java,com.marklogic.client.impl.RowManagerImpl$RowSetRecord,next/0,headerDatatypes,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RowManagerImpl.java,com.marklogic.client.impl.RowManagerImpl$RowSetRecord,next/0,headerKinds,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RowManagerImpl.java,com.marklogic.client.impl.RowManagerImpl$RowSetRecord,init/0,headerDatatypes,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RowManagerImpl.java,com.marklogic.client.impl.RowManagerImpl$RowSetRecord,init/0,headerKinds,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RowManagerImpl.java,com.marklogic.client.impl.RowManagerImpl$RowSetRecord,"hasAlias/2[java.util.Map<java.lang.String,T>,java.lang.Object]",aliases,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RowManagerImpl.java,com.marklogic.client.impl.RowManagerImpl$RowSetRecord,getHandleRegistry/0,handleRegistry,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RowManagerImpl.java,com.marklogic.client.impl.RowManagerImpl$RowSetRecord,"RowSetRecord/5[java.lang.String,com.marklogic.client.row.RowManager.RowSetPart,com.marklogic.client.row.RowManager.RowStructure,com.marklogic.client.impl.RESTServices.RESTServiceResultIterator,com.marklogic.client.DatabaseClientFactory.HandleFactoryRegistry]",handleRegistry,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/RowManagerImpl.java,com.marklogic.client.impl.RowManagerImpl$RowSetRecord,"initAliases/1[java.util.Map<java.lang.String,?>]",aliases,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,flush/0,tee,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,flush/0,out,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,"write/3[byte[],int,int]",out,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,cleanupTee/0,tee,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,"writeTee/3[byte[],int,int]",max,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,"writeTee/3[byte[],int,int]",tee,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,"writeTee/3[byte[],int,int]",sent,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,write/1[int],max,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,write/1[int],tee,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,write/1[int],sent,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,write/1[int],out,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,"OutputStreamTee/3[java.io.OutputStream,java.io.OutputStream,long]",tee,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,"OutputStreamTee/3[java.io.OutputStream,java.io.OutputStream,long]",max,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,"OutputStreamTee/3[java.io.OutputStream,java.io.OutputStream,long]",out,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/java-client-api/../../java-client-api/marklogic-client-api/src/main/java/com/marklogic/client/impl/OutputStreamTee.java,com.marklogic.client.impl.OutputStreamTee,close/0,out,3
