file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/test/java/org/jdbi/v3/core/collector/EnumSetCollectorFactoryTest.java,org.jdbi.v3.core.collector.EnumSetCollectorFactoryTest,enumSet/0,factory,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/test/java/org/jdbi/v3/core/mapper/PropagateNullTest.java,org.jdbi.v3.core.mapper.PropagateNullTest$Test22Bean,getNestedBean/0,nestedBean,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/extension/ExtensionMetadata.java,org.jdbi.v3.core.extension.ExtensionMetadata$ExtensionHandlerInvoker,invoke/1[java.lang.Object[]],extensionHandler,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/extension/ExtensionMetadata.java,org.jdbi.v3.core.extension.ExtensionMetadata$ExtensionHandlerInvoker,invoke/1[java.lang.Object[]],handleSupplier,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/extension/ExtensionMetadata.java,org.jdbi.v3.core.extension.ExtensionMetadata$ExtensionHandlerInvoker,invoke/1[java.lang.Object[]],target,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/extension/ExtensionMetadata.java,org.jdbi.v3.core.extension.ExtensionMetadata$ExtensionHandlerInvoker,call/1[java.util.concurrent.Callable<?>],extensionContext,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/extension/ExtensionMetadata.java,org.jdbi.v3.core.extension.ExtensionMetadata$ExtensionHandlerInvoker,call/1[java.util.concurrent.Callable<?>],handleSupplier,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/extension/ExtensionMetadata.java,org.jdbi.v3.core.extension.ExtensionMetadata$ExtensionHandlerInvoker,"ExtensionHandlerInvoker/5[java.lang.Object,java.lang.reflect.Method,org.jdbi.v3.core.extension.ExtensionHandler,org.jdbi.v3.core.extension.HandleSupplier,org.jdbi.v3.core.config.ConfigRegistry]",extensionHandler,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/extension/ExtensionMetadata.java,org.jdbi.v3.core.extension.ExtensionMetadata$ExtensionHandlerInvoker,"ExtensionHandlerInvoker/5[java.lang.Object,java.lang.reflect.Method,org.jdbi.v3.core.extension.ExtensionHandler,org.jdbi.v3.core.extension.HandleSupplier,org.jdbi.v3.core.config.ConfigRegistry]",extensionContext,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/extension/ExtensionMetadata.java,org.jdbi.v3.core.extension.ExtensionMetadata$ExtensionHandlerInvoker,"ExtensionHandlerInvoker/5[java.lang.Object,java.lang.reflect.Method,org.jdbi.v3.core.extension.ExtensionHandler,org.jdbi.v3.core.extension.HandleSupplier,org.jdbi.v3.core.config.ConfigRegistry]",handleSupplier,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/extension/ExtensionMetadata.java,org.jdbi.v3.core.extension.ExtensionMetadata$ExtensionHandlerInvoker,"ExtensionHandlerInvoker/5[java.lang.Object,java.lang.reflect.Method,org.jdbi.v3.core.extension.ExtensionHandler,org.jdbi.v3.core.extension.HandleSupplier,org.jdbi.v3.core.config.ConfigRegistry]",target,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/argument/internal/NamedArgumentFinderFactory.java,org.jdbi.v3.core.argument.internal.NamedArgumentFinderFactory$PrepareKey,hashCode/0,factoryClass,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/argument/internal/NamedArgumentFinderFactory.java,org.jdbi.v3.core.argument.internal.NamedArgumentFinderFactory$PrepareKey,hashCode/0,prefix,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/argument/internal/NamedArgumentFinderFactory.java,org.jdbi.v3.core.argument.internal.NamedArgumentFinderFactory$PrepareKey,hashCode/0,type,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/argument/internal/NamedArgumentFinderFactory.java,org.jdbi.v3.core.argument.internal.NamedArgumentFinderFactory$PrepareKey,equals/1[java.lang.Object],factoryClass,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/argument/internal/NamedArgumentFinderFactory.java,org.jdbi.v3.core.argument.internal.NamedArgumentFinderFactory$PrepareKey,equals/1[java.lang.Object],prefix,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/argument/internal/NamedArgumentFinderFactory.java,org.jdbi.v3.core.argument.internal.NamedArgumentFinderFactory$PrepareKey,equals/1[java.lang.Object],type,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/argument/internal/NamedArgumentFinderFactory.java,org.jdbi.v3.core.argument.internal.NamedArgumentFinderFactory$PrepareKey,"PrepareKey/3[java.lang.Class<?>,java.lang.reflect.Type,java.lang.String]",factoryClass,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/argument/internal/NamedArgumentFinderFactory.java,org.jdbi.v3.core.argument.internal.NamedArgumentFinderFactory$PrepareKey,"PrepareKey/3[java.lang.Class<?>,java.lang.reflect.Type,java.lang.String]",prefix,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/core/src/main/java/org/jdbi/v3/core/argument/internal/NamedArgumentFinderFactory.java,org.jdbi.v3.core.argument.internal.NamedArgumentFinderFactory$PrepareKey,"PrepareKey/3[java.lang.Class<?>,java.lang.reflect.Type,java.lang.String]",type,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jdbi/../../jdbi/cache/caffeine-cache/src/main/java/org/jdbi/v3/cache/caffeine/CaffeineLoadingCache.java,org.jdbi.v3.cache.caffeine.CaffeineLoadingCache,get/1[K],loadingCache,1
