file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jcode-core/src/main/java/io/github/jeddict/jcode/impl/DefaultLayerConfigData.java,io.github.jeddict.jcode.impl.DefaultLayerConfigData,class,1,2,1,1,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,class,9,26,17,9,11,1,0,18,26,0.7407408,0.17857143,0.17857143,9,2,8,1,0,0,8,0,0,0,3,0,0,0,3,0,0,0,2,44,6,0,1,0,0,6,0,7,0,6,1,0,0,0,77,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jcode-util/src/main/java/io/github/jeddict/jcode/JPAConstants.java,io.github.jeddict.jcode.JPAConstants,class,0,0,0,0,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,225,225,225,0,0,0,225,0,2,227,0,0,0,0,0,119,6,225,111,225,0,0,0,0,32,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/widget/flow/association/OTOAssociationFlowWidget.java,io.github.jeddict.jpa.modeler.widget.flow.association.OTOAssociationFlowWidget,class,4,8,4,4,1,4,2,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,0,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,30,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/properties/entitygraph/nodes/EGLeafNode.java,io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.EGLeafNode,class,6,9,3,6,7,2,0,12,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,2,30,2,0,1,0,0,5,0,6,2,4,1,0,0,0,27,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jcode-core/src/main/java/io/github/jeddict/jcode/ui/ProjectCellRenderer.java,io.github.jeddict.jcode.ui.ProjectCellRenderer,class,2,3,1,2,7,5,0,14,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,38,1,0,2,0,0,1,0,7,0,4,2,0,0,0,29,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/properties/classmember/HashcodeEqualsPanel.java,io.github.jeddict.jpa.modeler.properties.classmember.HashcodeEqualsPanel,class,5,7,2,5,6,2,0,22,11,0.7916667,0.7,1.0,6,0,5,1,0,0,5,0,0,0,8,0,0,8,0,0,1,0,0,63,1,0,0,0,10,4,10,11,0,11,0,0,0,0,48,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/db/accessor/AccessorUtil.java,io.github.jeddict.db.accessor.AccessorUtil$ProxyEnum,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/relation-mapper/src/main/java/io/github/jeddict/relation/mapper/classloader/DynamicDriverClassLoader.java,io.github.jeddict.relation.mapper.classloader.DynamicDriverClassLoader,class,6,8,2,6,12,4,0,14,9,0.6666667,0.33333334,0.33333334,6,0,2,3,1,0,3,0,0,1,3,0,0,3,0,0,0,0,1,84,4,0,3,3,0,0,0,13,0,8,2,0,2,0,42,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/workspace/WorkSpaceItemValidator.java,io.github.jeddict.jpa.spec.workspace.WorkSpaceItemValidator,class,4,6,2,4,7,3,0,3,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,18,4,0,3,0,0,0,0,2,0,1,1,0,0,0,17,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/orm-generator/src/main/java/io/github/jeddict/orm/generator/compiler/Snippet.java,io.github.jeddict.orm.generator.compiler.Snippet,interface,1,88,87,1,40,1,0,20,153,0.0,0.0,0.0,18,0,2,0,0,16,18,0,0,0,0,0,0,0,0,0,0,0,1,135,16,2,5,0,1,12,8,15,7,14,2,0,0,0,50,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/bean/MultiAssociationAttribute.java,io.github.jeddict.jpa.spec.bean.MultiAssociationAttribute,class,6,9,3,6,9,5,2,7,24,0.75,0.071428575,0.071428575,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,1,33,6,0,1,0,0,3,0,4,0,3,1,0,0,0,24,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/orm-generator/src/main/java/io/github/jeddict/orm/generator/compiler/ConvertSnippet.java,io.github.jeddict.orm.generator.compiler.ConvertSnippet,class,4,6,2,4,10,2,0,15,0,0.22222222,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,34,2,0,2,0,0,3,0,5,0,5,2,0,0,0,41,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/reverse-engineering/src/main/java/io/github/jeddict/reveng/database/DBSchemaTableProvider.java,io.github.jeddict.reveng.database.DBSchemaTableProvider,class,17,19,2,17,26,2,0,37,7,0.6285714,0.6666667,1.0,7,2,3,4,0,0,3,0,0,0,5,0,0,5,0,0,3,0,6,148,5,7,5,0,1,0,2,37,0,35,4,0,1,0,71,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/snippet/AttributeSnippet.java,io.github.jeddict.snippet.AttributeSnippet,class,3,7,4,3,6,2,0,0,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,21,2,0,2,0,0,1,0,4,0,1,1,0,0,0,15,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jcode-util/src/main/java/io/github/jeddict/jcode/task/ITaskFinishListener.java,io.github.jeddict.jcode.task.ITaskFinishListener,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/source/MemberExplorer.java,io.github.jeddict.source.MemberExplorer,class,20,57,37,20,66,2,0,55,231,0.8307692,0.13333334,0.27333334,26,0,24,1,1,0,25,0,0,0,5,0,0,5,0,0,1,0,6,201,23,2,12,4,2,11,9,37,7,19,2,0,0,0,82,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/reverse-engineering/src/main/java/io/github/jeddict/reveng/doc/DocSetupPanel.java,io.github.jeddict.reveng.doc.DocSetupPanel,class,7,9,2,7,16,1,0,15,26,0.6666666,0.22727273,0.24242425,12,0,10,0,2,0,12,0,4,0,4,0,0,4,0,0,1,0,0,72,4,2,2,0,3,4,1,10,1,9,1,0,0,0,45,16,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/orm/generator/ISourceCodeGenerator.java,io.github.jeddict.orm.generator.ISourceCodeGenerator,interface,2,6,4,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/tests/src/test/resources/io/github/jeddict/bean/Student.java,io.github.jeddict.bean.Student,class,1,2,1,1,15,1,0,5,29,0.6363636,0.23636363,0.23636363,11,0,11,0,0,0,11,0,0,0,2,0,0,2,0,0,0,0,3,54,11,0,2,0,0,2,3,9,6,4,1,0,0,0,23,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/db-modeler/src/main/java/io/github/jeddict/db/modeler/widget/PrimaryKeyWidget.java,io.github.jeddict.db.modeler.widget.PrimaryKeyWidget,class,4,5,1,4,3,4,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/properties/annotation/AnnotationPanel.java,io.github.jeddict.jpa.modeler.properties.annotation.AnnotationPanel,class,11,16,5,11,27,2,0,68,73,0.88961035,0.13333334,0.13333334,14,0,6,8,0,0,6,0,0,0,11,0,0,11,0,0,2,0,2,177,6,2,9,1,6,14,33,26,1,19,3,3,0,0,99,1,0
