file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,setDescription/1[java.lang.String],description,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,getName/0,name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,compareTo/1[io.github.jeddict.jpa.spec.AttributeOverride],name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,setColumn/1[io.github.jeddict.jpa.spec.Column],column,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,setName/1[java.lang.String],name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,getColumn/0,column,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,getDescription/0,description,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/widget/flow/association/OTOAssociationFlowWidget.java,io.github.jeddict.jpa.modeler.widget.flow.association.OTOAssociationFlowWidget,"OTOAssociationFlowWidget/2[io.github.jeddict.jpa.modeler.initializer.JPAModelerScene,io.github.jeddict.jpa.modeler.widget.flow.association.EdgeWidgetInfo]",TARGET_ANCHOR_SHAPE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/widget/flow/association/OTOAssociationFlowWidget.java,io.github.jeddict.jpa.modeler.widget.flow.association.OTOAssociationFlowWidget,"OTOAssociationFlowWidget/2[io.github.jeddict.jpa.modeler.initializer.JPAModelerScene,io.github.jeddict.jpa.modeler.widget.flow.association.EdgeWidgetInfo]",SOURCE_ANCHOR_SHAPE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/properties/entitygraph/nodes/EGLeafNode.java,io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.EGLeafNode,"EGLeafNode/3[io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.AttributeWidget,io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.NamedEntityGraph,io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.CheckableAttributeNode]",leafAttributeWidget,4
