file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jcode-core/src/main/java/io/github/jeddict/jcode/impl/DefaultLayerConfigData.java,io.github.jeddict.jcode.impl.DefaultLayerConfigData,getUsageDetails/0,false,29,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,setDescription/1[java.lang.String],false,111,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,getName/0,false,144,0,15,15,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,load/1[io.github.jeddict.source.AnnotatedMember],false,73,4,8,5,3,2,11,9,1,2,1,11,0,0,0,0,0,0,1,0,2,0,1,0,0,0,10,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,compareTo/1[io.github.jeddict.jpa.spec.AttributeOverride],false,159,1,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,setColumn/1[io.github.jeddict.jpa.spec.Column],false,134,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,setName/1[java.lang.String],false,154,0,7,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,getColumn/0,false,121,1,12,11,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,getDescription/0,false,101,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-spec/src/main/java/io/github/jeddict/jpa/spec/AttributeOverride.java,io.github.jeddict.jpa.spec.AttributeOverride,load/1[io.github.jeddict.source.AnnotationExplorer],false,66,2,3,0,3,1,5,6,1,1,1,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,10,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/widget/flow/association/OTOAssociationFlowWidget.java,io.github.jeddict.jpa.modeler.widget.flow.association.OTOAssociationFlowWidget,"OTOAssociationFlowWidget/2[io.github.jeddict.jpa.modeler.initializer.JPAModelerScene,io.github.jeddict.jpa.modeler.widget.flow.association.EdgeWidgetInfo]",true,34,2,0,0,0,1,2,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/properties/entitygraph/nodes/EGLeafNode.java,io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.EGLeafNode,"EGLeafNode/3[io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.AttributeWidget,io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.NamedEntityGraph,io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.CheckableAttributeNode]",true,33,3,1,1,0,1,1,4,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/properties/entitygraph/nodes/EGLeafNode.java,io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.EGLeafNode,getLeafAttributeWidget/0,false,66,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jeddict/../../jeddict/jpa-modeler/src/main/java/io/github/jeddict/jpa/modeler/properties/entitygraph/nodes/EGLeafNode.java,io.github.jeddict.jpa.modeler.properties.entitygraph.nodes.EGLeafNode,getHtmlDisplayName/0,false,52,1,0,0,0,3,6,11,1,2,0,6,0,0,0,1,0,0,3,0,4,1,1,0,0,0,12,1,0,false
