file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/util/JedisSentinelTestUtil.java,redis.clients.jedis.util.JedisSentinelTestUtil$Anonymous1,anonymous,2,2,0,2,4,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,2,0,1,0,0,0,18,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous49,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,2,3,0,3,0,0,0,0,7,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/search/SearchResult.java,redis.clients.jedis.search.SearchResult,class,3,20,17,3,4,2,0,3,0,0.41666666,0.6666667,1.0,4,0,3,1,0,0,3,0,0,0,3,1,1,2,0,0,2,0,1,72,3,0,0,0,0,3,0,3,1,3,0,1,1,0,44,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous48,anonymous,4,4,0,4,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,3,5,1,5,1,0,0,0,10,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/QueryBuilderTest.java,redis.clients.jedis.modules.search.QueryBuilderTest,class,9,9,0,9,6,1,0,34,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,42,60,0,0,0,0,0,54,29,16,0,5,0,0,0,0,39,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/commands/unified/ListCommandsTestBase.java,redis.clients.jedis.commands.unified.ListCommandsTestBase$Anonymous1,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,3,1,0,0,0,1,0,0,0,4,-1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/args/RawableFactory.java,redis.clients.jedis.args.RawableFactory$RawString,innerclass,3,3,0,3,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/commands/unified/ListCommandsTestBase.java,redis.clients.jedis.commands.unified.ListCommandsTestBase$Anonymous2,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,1,1,0,0,0,1,0,0,0,4,-1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,class,20,21,1,20,20,2,0,76,0,0.1875,0.85714287,0.85714287,16,1,14,2,0,0,14,0,0,0,1,1,0,1,0,0,1,0,43,255,0,1,1,2,3,330,140,59,0,59,1,0,0,4,73,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/CommandObject.java,redis.clients.jedis.CommandObject,class,3,35,32,3,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationBuilderTest.java,redis.clients.jedis.modules.search.AggregationBuilderTest,class,3,3,0,3,2,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,6,0,2,0,2,0,0,0,0,10,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/util/ClientKillerUtil.java,redis.clients.jedis.util.ClientKillerUtil,class,1,3,2,1,4,1,0,5,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,4,2,1,1,1,2,0,0,0,14,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/ClusterPipeliningTest.java,redis.clients.jedis.ClusterPipeliningTest,class,35,36,1,35,76,1,0,243,0,0.76666665,0.8065434,0.8065434,40,3,38,2,0,0,38,0,0,0,9,8,0,9,0,0,2,0,101,872,0,9,24,32,0,538,265,381,13,377,3,0,0,2,249,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous43,anonymous,3,3,0,3,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,0,0,2,2,1,0,1,1,0,0,0,7,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/timeseries/RedisTimeSeriesCommands.java,redis.clients.jedis.timeseries.RedisTimeSeriesCommands,interface,11,12,1,11,29,1,0,0,406,0.0,0.0,0.0,29,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous42,anonymous,1,1,0,1,3,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,3,0,1,0,1,2,0,0,0,0,1,0,0,0,6,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/StreamEntryID.java,redis.clients.jedis.StreamEntryID,class,3,22,19,3,19,1,0,9,0,0.7884616,0.47272727,0.5090909,13,0,11,2,0,0,11,0,0,0,8,6,5,3,0,0,6,0,5,89,9,0,6,0,0,2,7,15,1,11,1,5,0,0,71,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous41,anonymous,1,1,0,1,3,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,3,0,1,0,1,2,0,0,0,0,1,0,0,0,6,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous40,anonymous,3,3,0,3,4,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,3,1,1,0,0,2,2,3,1,3,1,0,0,0,10,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous47,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,1,0,0,0,0,2,4,0,4,1,0,0,0,9,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous46,anonymous,3,3,0,3,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,1,1,0,0,0,0,3,5,1,5,1,0,0,0,9,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous45,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,1,0,0,0,0,2,4,0,4,1,0,0,0,9,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/search/Query.java,redis.clients.jedis.search.Query,class,11,23,12,11,79,3,0,17,340,0.9227109,0.07881773,0.864532,29,0,29,0,0,0,29,0,0,0,29,0,0,29,0,0,3,0,22,363,26,8,24,0,1,1,24,63,1,32,3,0,5,1,228,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/io/redis/examples/SetGetExample.java,io.redis.examples.SetGetExample,class,2,2,0,2,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,10,0,3,1,3,1,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous44,anonymous,4,4,0,4,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,0,0,2,2,1,0,1,1,0,0,0,7,-1,0
