file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/search/SearchResult.java,redis.clients.jedis.search.SearchResult,"SearchResult/2[long,java.util.List<redis.clients.jedis.search.Document>]",totalResults,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/search/SearchResult.java,redis.clients.jedis.search.SearchResult,"SearchResult/2[long,java.util.List<redis.clients.jedis.search.Document>]",documents,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/search/SearchResult.java,redis.clients.jedis.search.SearchResult,toString/0,totalResults,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/search/SearchResult.java,redis.clients.jedis.search.SearchResult,toString/0,documents,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/search/SearchResult.java,redis.clients.jedis.search.SearchResult,getTotalResults/0,totalResults,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/search/SearchResult.java,redis.clients.jedis.search.SearchResult,getDocuments/0,documents,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/args/RawableFactory.java,redis.clients.jedis.args.RawableFactory$RawString,getRaw/0,raw,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/main/java/redis/clients/jedis/args/RawableFactory.java,redis.clients.jedis.args.RawableFactory$RawString,RawString/1[java.lang.String],raw,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,testAggregations2Profile/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,load/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,loadAll/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,testAggregationBuilderTimeout/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,testApplyAndFilterAggregations/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,testWrongAggregation/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,testAggregations2/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,aggregateIteration/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,testAggregations/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jedis/../../jedis/src/test/java/redis/clients/jedis/modules/search/AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,testAggregationBuilderVerbatim/0,index,3
