file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,close/0,closed,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,initOrGetLoaderMap/0,reentrantLock,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,initOrGetLoaderMap/0,loaderMap,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"synchronizedLoad/5[com.alicp.jetcache.CacheConfig,com.alicp.jetcache.AbstractCache<K,V>,K,java.util.function.Function<K,V>,java.util.function.Consumer<V>]",logger,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,isClosed/0,closed,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"logError/3[java.lang.String,java.lang.Object,java.lang.Throwable]",logger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-starter/jetcache-autoconfigure/src/main/java/com/alicp/jetcache/autoconfigure/AutoConfigureBeans.java,com.alicp.jetcache.autoconfigure.AutoConfigureBeans,getLocalCacheBuilders/0,localCacheBuilders,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-starter/jetcache-autoconfigure/src/main/java/com/alicp/jetcache/autoconfigure/AutoConfigureBeans.java,com.alicp.jetcache.autoconfigure.AutoConfigureBeans,"setLocalCacheBuilders/1[java.util.Map<java.lang.String,com.alicp.jetcache.CacheBuilder>]",localCacheBuilders,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-starter/jetcache-autoconfigure/src/main/java/com/alicp/jetcache/autoconfigure/AutoConfigureBeans.java,com.alicp.jetcache.autoconfigure.AutoConfigureBeans,"setCustomContainer/1[java.util.Map<java.lang.String,java.lang.Object>]",customContainer,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-starter/jetcache-autoconfigure/src/main/java/com/alicp/jetcache/autoconfigure/AutoConfigureBeans.java,com.alicp.jetcache.autoconfigure.AutoConfigureBeans,"setRemoteCacheBuilders/1[java.util.Map<java.lang.String,com.alicp.jetcache.CacheBuilder>]",remoteCacheBuilders,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-starter/jetcache-autoconfigure/src/main/java/com/alicp/jetcache/autoconfigure/AutoConfigureBeans.java,com.alicp.jetcache.autoconfigure.AutoConfigureBeans,getRemoteCacheBuilders/0,remoteCacheBuilders,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-starter/jetcache-autoconfigure/src/main/java/com/alicp/jetcache/autoconfigure/AutoConfigureBeans.java,com.alicp.jetcache.autoconfigure.AutoConfigureBeans,getCustomContainer/0,customContainer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/support/CacheMessage.java,com.alicp.jetcache.support.CacheMessage,setCacheName/1[java.lang.String],cacheName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/support/CacheMessage.java,com.alicp.jetcache.support.CacheMessage,setKeys/1[java.lang.Object[]],keys,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/support/CacheMessage.java,com.alicp.jetcache.support.CacheMessage,getType/0,type,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/support/CacheMessage.java,com.alicp.jetcache.support.CacheMessage,getArea/0,area,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/support/CacheMessage.java,com.alicp.jetcache.support.CacheMessage,setValues/1[java.lang.Object[]],values,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/support/CacheMessage.java,com.alicp.jetcache.support.CacheMessage,getValues/0,values,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/support/CacheMessage.java,com.alicp.jetcache.support.CacheMessage,setArea/1[java.lang.String],area,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/support/CacheMessage.java,com.alicp.jetcache.support.CacheMessage,getSourceId/0,sourceId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/support/CacheMessage.java,com.alicp.jetcache.support.CacheMessage,getKeys/0,keys,1
