file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"buildLoaderLockKey/2[com.alicp.jetcache.Cache,java.lang.Object]",c,12
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"buildLoaderLockKey/2[com.alicp.jetcache.Cache,java.lang.Object]",bytes,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"buildLoaderLockKey/2[com.alicp.jetcache.Cache,java.lang.Object]",key,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"synchronizedLoad/5[com.alicp.jetcache.CacheConfig,com.alicp.jetcache.AbstractCache<K,V>,K,java.util.function.Function<K,V>,java.util.function.Consumer<V>]",ll,10
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"synchronizedLoad/5[com.alicp.jetcache.CacheConfig,com.alicp.jetcache.AbstractCache<K,V>,K,java.util.function.Function<K,V>,java.util.function.Consumer<V>]",cacheUpdater,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"synchronizedLoad/5[com.alicp.jetcache.CacheConfig,com.alicp.jetcache.AbstractCache<K,V>,K,java.util.function.Function<K,V>,java.util.function.Consumer<V>]",e,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"synchronizedLoad/5[com.alicp.jetcache.CacheConfig,com.alicp.jetcache.AbstractCache<K,V>,K,java.util.function.Function<K,V>,java.util.function.Consumer<V>]",newLoader,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"synchronizedLoad/5[com.alicp.jetcache.CacheConfig,com.alicp.jetcache.AbstractCache<K,V>,K,java.util.function.Function<K,V>,java.util.function.Consumer<V>]",abstractCache,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"synchronizedLoad/5[com.alicp.jetcache.CacheConfig,com.alicp.jetcache.AbstractCache<K,V>,K,java.util.function.Function<K,V>,java.util.function.Consumer<V>]",timeout,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jetcache/../../jetcache/jetcache-core/src/main/java/com/alicp/jetcache/AbstractCache.java,com.alicp.jetcache.AbstractCache,"synchronizedLoad/5[com.alicp.jetcache.CacheConfig,com.alicp.jetcache.AbstractCache<K,V>,K,java.util.function.Function<K,V>,java.util.function.Consumer<V>]",loaderMap,2
