file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,interface,20,22,2,20,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,class,9,9,0,9,13,2,0,20,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,149,0,4,4,0,0,541,57,15,40,31,3,2,0,16,65,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/example/java/jimmer-sql-graphql/model/src/main/java/org/babyfish/jimmer/sql/example/model/Gender.java,Gender,enum,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/runtime/ReaderManager.java,org.babyfish.jimmer.sql.runtime.ReaderManager$IntReader,innerclass,2,2,0,2,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,1,1,0,1,1,0,0,0,14,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-core/src/main/java/org/babyfish/jimmer/runtime/ListDraft.java,org.babyfish.jimmer.runtime.ListDraft$Itr,innerclass,3,3,0,3,39,1,0,13,0,0.5151515,1.0,1.0,11,0,10,1,0,0,10,0,0,0,9,0,0,9,0,0,4,0,0,126,8,0,21,0,5,0,1,24,5,16,2,0,0,0,40,2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/loader/graphql/impl/ListLoaderImpl.java,org.babyfish.jimmer.sql.loader.graphql.impl.ListLoaderImpl,class,14,16,2,14,9,1,0,1,0,0.083333336,1.0,1.0,6,0,5,1,0,0,5,0,0,0,4,0,0,4,0,0,3,0,2,36,6,0,2,0,0,3,0,4,0,4,1,0,0,0,35,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/cache/chain/ChainCacheImpl.java,org.babyfish.jimmer.sql.cache.chain.ChainCacheImpl$LoadingNode,innerclass,5,5,0,5,3,1,0,4,0,0.16666667,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,16,1,0,0,0,0,0,0,2,0,2,0,0,0,0,10,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/common/Constants.java,org.babyfish.jimmer.sql.common.Constants,class,0,0,0,0,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,20,0,20,22,0,0,0,0,0,20,0,20,0,20,0,0,0,0,76,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/runtime/ReaderManager.java,org.babyfish.jimmer.sql.runtime.ReaderManager$StringListReader,innerclass,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-apt/src/main/java/org/babyfish/jimmer/apt/entry/FetchersGenerator.java,org.babyfish.jimmer.apt.entry.FetchersGenerator,class,7,9,2,7,6,2,0,17,0,0.41666666,1.0,1.0,4,0,2,2,0,0,2,0,0,0,3,0,0,3,0,0,3,0,2,30,2,1,0,1,0,7,0,6,3,7,1,0,0,1,25,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/middle/JoinTest.java,org.babyfish.jimmer.sql.middle.JoinTest,class,9,9,0,9,15,2,0,27,105,0.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,122,0,0,0,0,0,172,6,15,15,30,1,0,0,15,47,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-client/src/main/java/org/babyfish/jimmer/client/runtime/impl/NullableTypeImpl.java,org.babyfish.jimmer.client.runtime.impl.NullableTypeImpl,class,4,11,7,4,12,2,0,5,1,0.2857143,0.4,0.4,7,2,5,1,1,0,6,0,0,0,1,0,0,1,0,0,1,0,1,33,10,0,3,0,1,0,0,2,1,2,1,0,0,0,24,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-core/src/main/java/org/babyfish/jimmer/client/meta/impl/ApiServiceImpl.java,org.babyfish.jimmer.client.meta.impl.ApiServiceImpl$Serializer,innerclass,4,4,0,4,4,2,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,4,0,0,0,0,1,0,0,0,10,9,0
