file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testPermissionWithRole/0,sqlClient,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testPermissionWithRole/0,sqlClientForAllData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testPermissionWithRole/0,sqlClientForDeletedData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testAdministratorWithRoles/0,sqlClient,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testAdministratorWithRoles/0,sqlClientForAllData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testAdministratorWithRoles/0,sqlClientForDeletedData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testRoleAndAdministrators/0,sqlClient,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testRoleAndAdministrators/0,sqlClientForAllData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testRoleAndAdministrators/0,sqlClientForDeletedData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,initialize/0,sqlClient,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,initialize/0,sqlClientForAllData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,initialize/0,sqlClientForDeletedData,1
