file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,"select/7[org.babyfish.jimmer.sql.ast.Selection<T1>,org.babyfish.jimmer.sql.ast.Selection<T2>,org.babyfish.jimmer.sql.ast.Selection<T3>,org.babyfish.jimmer.sql.ast.Selection<T4>,org.babyfish.jimmer.sql.ast.Selection<T5>,org.babyfish.jimmer.sql.ast.Selection<T6>,org.babyfish.jimmer.sql.ast.Selection<T7>]",false,48,10,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,"select/3[org.babyfish.jimmer.sql.ast.Selection<T1>,org.babyfish.jimmer.sql.ast.Selection<T2>,org.babyfish.jimmer.sql.ast.Selection<T3>]",false,18,6,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,"select/6[org.babyfish.jimmer.sql.ast.Selection<T1>,org.babyfish.jimmer.sql.ast.Selection<T2>,org.babyfish.jimmer.sql.ast.Selection<T3>,org.babyfish.jimmer.sql.ast.Selection<T4>,org.babyfish.jimmer.sql.ast.Selection<T5>,org.babyfish.jimmer.sql.ast.Selection<T6>]",false,39,9,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,"select/2[org.babyfish.jimmer.sql.ast.Selection<T1>,org.babyfish.jimmer.sql.ast.Selection<T2>]",false,13,5,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,"select/9[org.babyfish.jimmer.sql.ast.Selection<T1>,org.babyfish.jimmer.sql.ast.Selection<T2>,org.babyfish.jimmer.sql.ast.Selection<T3>,org.babyfish.jimmer.sql.ast.Selection<T4>,org.babyfish.jimmer.sql.ast.Selection<T5>,org.babyfish.jimmer.sql.ast.Selection<T6>,org.babyfish.jimmer.sql.ast.Selection<T7>,org.babyfish.jimmer.sql.ast.Selection<T8>,org.babyfish.jimmer.sql.ast.Selection<T9>]",false,69,12,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,"select/8[org.babyfish.jimmer.sql.ast.Selection<T1>,org.babyfish.jimmer.sql.ast.Selection<T2>,org.babyfish.jimmer.sql.ast.Selection<T3>,org.babyfish.jimmer.sql.ast.Selection<T4>,org.babyfish.jimmer.sql.ast.Selection<T5>,org.babyfish.jimmer.sql.ast.Selection<T6>,org.babyfish.jimmer.sql.ast.Selection<T7>,org.babyfish.jimmer.sql.ast.Selection<T8>]",false,58,11,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,select/1[org.babyfish.jimmer.sql.ast.Selection<R>],false,9,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,"select/4[org.babyfish.jimmer.sql.ast.Selection<T1>,org.babyfish.jimmer.sql.ast.Selection<T2>,org.babyfish.jimmer.sql.ast.Selection<T3>,org.babyfish.jimmer.sql.ast.Selection<T4>]",false,24,7,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/main/java/org/babyfish/jimmer/sql/ast/query/selectable/SubSelectable.java,org.babyfish.jimmer.sql.ast.query.selectable.SubSelectable,"select/5[org.babyfish.jimmer.sql.ast.Selection<T1>,org.babyfish.jimmer.sql.ast.Selection<T2>,org.babyfish.jimmer.sql.ast.Selection<T3>,org.babyfish.jimmer.sql.ast.Selection<T4>,org.babyfish.jimmer.sql.ast.Selection<T5>]",false,31,8,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jimmer/../../jimmer/project/jimmer-sql/src/test/java/org/babyfish/jimmer/sql/cache/LogicalDeletedCacheTest.java,org.babyfish.jimmer.sql.cache.LogicalDeletedCacheTest,testPermissionWithRole/0,false,269,2,0,0,0,3,11,27,0,6,0,11,0,0,1,1,0,0,120,14,3,10,3,0,0,3,34,1,0,false
