file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,class,24,25,1,24,12,1,0,31,0,0.22916667,0.6545454,0.6545454,12,0,0,1,0,11,11,0,0,0,4,0,0,4,0,0,1,0,13,136,0,0,0,0,0,157,50,39,0,53,0,0,1,11,45,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/DefaultPropertyTest.java,org.eclipse.jnosql.mapping.graph.DefaultPropertyTest,class,3,3,0,3,10,1,0,13,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,11,47,0,0,0,0,0,14,14,10,0,10,0,0,0,1,34,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-reflection/src/test/java/org/eclipse/jnosql/mapping/reflection/ReflectionClassConverterJavaFieldParserTest.java,org.eclipse.jnosql.mapping.reflection.ReflectionClassConverterJavaFieldParserTest,class,9,9,0,9,9,1,0,9,0,0.0,1.0,1.0,9,0,0,0,0,9,9,0,0,0,1,0,0,1,0,0,0,0,8,52,0,0,0,0,0,18,0,20,0,20,1,0,0,1,44,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/entities/Director.java,org.eclipse.jnosql.mapping.graph.entities.Director,class,6,8,2,6,9,2,0,3,3,0.33333334,0.4,0.4,6,1,5,0,0,1,6,0,0,0,1,0,0,1,0,0,0,0,2,61,6,0,3,0,0,0,0,2,0,2,1,0,1,0,17,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/main/java/org/eclipse/jnosql/mapping/graph/DefaultEdgeRepeatStepTraversal.java,org.eclipse.jnosql.mapping.graph.DefaultEdgeRepeatStepTraversal,class,8,9,1,8,3,2,0,2,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,13,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-communication/jnosql-communication-document/src/main/java/org/eclipse/jnosql/communication/document/DefaultFluentDeleteQueryBuilder.java,org.eclipse.jnosql.communication.document.DefaultFluentDeleteQueryBuilder,class,11,13,2,11,16,2,0,12,116,0.875,0.016666668,0.025,16,0,15,0,0,1,16,0,0,0,2,0,0,2,0,0,1,0,5,72,14,0,0,0,0,5,0,8,0,2,0,0,0,0,48,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-column/src/test/java/org/eclipse/jnosql/mapping/column/query/ParamsBinderTest.java,org.eclipse.jnosql.mapping.column.query.ParamsBinderTest,class,26,26,0,26,2,1,0,22,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,0,0,2,46,0,0,0,0,0,4,6,26,0,29,0,1,1,2,37,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-communication/jnosql-communication-column/src/main/java/org/eclipse/jnosql/communication/column/ColumnQuery.java,org.eclipse.jnosql.communication.column.ColumnQuery$ColumnLimit,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-communication/jnosql-communication-column/src/main/java/org/eclipse/jnosql/communication/column/ColumnQuery.java,org.eclipse.jnosql.communication.column.ColumnQuery$ColumnSelectProvider,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/main/java/org/eclipse/jnosql/mapping/graph/GraphTraversalSourceSupplier.java,org.eclipse.jnosql.mapping.graph.GraphTraversalSourceSupplier,interface,1,6,5,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
