file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery12/1[java.lang.String],mappings,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery12/1[java.lang.String],converter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery12/1[java.lang.String],converters,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery12/1[java.lang.String],graph,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery3/1[java.lang.String],mappings,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery3/1[java.lang.String],converter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery3/1[java.lang.String],converters,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery3/1[java.lang.String],graph,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery4/1[java.lang.String],mappings,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery4/1[java.lang.String],converter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery4/1[java.lang.String],converters,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery4/1[java.lang.String],graph,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery6/1[java.lang.String],mappings,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery6/1[java.lang.String],converter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery6/1[java.lang.String],converters,1
