file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery12/1[java.lang.String],false,223,9,3,0,3,1,23,12,0,7,1,23,0,0,0,0,0,0,21,4,5,0,0,0,0,2,23,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery3/1[java.lang.String],false,107,9,3,0,3,1,16,11,0,5,1,16,0,0,0,0,0,0,16,6,4,0,0,0,0,1,20,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery4/1[java.lang.String],false,125,9,3,0,3,1,17,12,0,5,1,17,0,0,0,0,0,0,18,7,4,0,0,0,0,1,21,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery6/1[java.lang.String],false,163,9,3,0,3,1,17,12,0,5,1,17,0,0,0,0,0,0,18,7,4,0,0,0,0,1,21,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,checkEquals/1[java.lang.String],false,243,7,5,2,3,1,17,11,0,5,1,17,0,0,0,0,0,0,12,2,4,0,0,0,0,1,14,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery11/1[java.lang.String],false,202,9,3,0,3,1,23,12,0,7,1,23,0,0,0,0,0,0,18,7,5,0,0,0,0,2,23,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,setUp/0,false,69,1,0,0,0,1,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery5/1[java.lang.String],false,145,9,3,0,3,1,16,11,0,5,1,16,0,0,0,0,0,0,16,6,4,0,0,0,0,1,20,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery2/1[java.lang.String],false,88,9,3,0,3,1,18,12,0,5,1,18,0,0,0,0,0,0,16,3,4,0,0,0,0,1,21,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jnosql/../../jnosql/jnosql-mapping/jnosql-mapping-graph/src/test/java/org/eclipse/jnosql/mapping/graph/query/DeleteQueryConverterTest.java,org.eclipse.jnosql.mapping.graph.query.DeleteQueryConverterTest,shouldRunQuery/1[java.lang.String],false,76,3,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,false
