file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",resultMapper,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/test/java/jodd/decora/DecoraExceptionTest.java,jodd.decora.DecoraExceptionTest,testDecoraExceptionString/0,TEST_STRING,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/test/java/jodd/decora/DecoraExceptionTest.java,jodd.decora.DecoraExceptionTest,testDecoraExceptionStringThrowable/0,TEST_STRING,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletDispatcherActionResult.java,jodd.madvoc.result.ServletDispatcherActionResult,"targetExists/2[jodd.madvoc.ActionRequest,java.lang.String]",log,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletDispatcherActionResult.java,jodd.madvoc.result.ServletDispatcherActionResult,"locateTarget/2[jodd.madvoc.ActionRequest,java.lang.String]",defaultViewExtensions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletDispatcherActionResult.java,jodd.madvoc.result.ServletDispatcherActionResult,"locateTarget/2[jodd.madvoc.ActionRequest,java.lang.String]",defaultViewPageName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/HttpStatus.java,jodd.madvoc.result.HttpStatus,message/0,message,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/HttpStatus.java,jodd.madvoc.result.HttpStatus,"HttpStatus/2[int,java.lang.String]",message,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/HttpStatus.java,jodd.madvoc.result.HttpStatus,"HttpStatus/2[int,java.lang.String]",status,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/HttpStatus.java,jodd.madvoc.result.HttpStatus,"of/2[int,java.lang.String]",message,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/HttpStatus.java,jodd.madvoc.result.HttpStatus,"of/2[int,java.lang.String]",status,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/HttpStatus.java,jodd.madvoc.result.HttpStatus,status/0,status,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/HttpStatus.java,jodd.madvoc.result.HttpStatus,isSuccess/0,status,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/HttpStatus.java,jodd.madvoc.result.HttpStatus,HttpStatus/1[int],status,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/HttpStatus.java,jodd.madvoc.result.HttpStatus,isError/0,status,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/main/java/jodd/decora/DecoraResponseWrapper.java,jodd.decora.DecoraResponseWrapper,bufferStatusCode/1[int],decoraManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/main/java/jodd/decora/DecoraResponseWrapper.java,jodd.decora.DecoraResponseWrapper,preResponseCommit/0,request,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/main/java/jodd/decora/DecoraResponseWrapper.java,jodd.decora.DecoraResponseWrapper,preResponseCommit/0,response,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/main/java/jodd/decora/DecoraResponseWrapper.java,jodd.decora.DecoraResponseWrapper,"DecoraResponseWrapper/4[jodd.decora.HttpServletRequest,jodd.decora.HttpServletResponse,jodd.servlet.wrapper.LastModifiedData,jodd.decora.DecoraManager]",request,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/main/java/jodd/decora/DecoraResponseWrapper.java,jodd.decora.DecoraResponseWrapper,"DecoraResponseWrapper/4[jodd.decora.HttpServletRequest,jodd.decora.HttpServletResponse,jodd.servlet.wrapper.LastModifiedData,jodd.decora.DecoraManager]",response,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/main/java/jodd/decora/DecoraResponseWrapper.java,jodd.decora.DecoraResponseWrapper,"DecoraResponseWrapper/4[jodd.decora.HttpServletRequest,jodd.decora.HttpServletResponse,jodd.servlet.wrapper.LastModifiedData,jodd.decora.DecoraManager]",decoraManager,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/main/java/jodd/decora/DecoraResponseWrapper.java,jodd.decora.DecoraResponseWrapper,"bufferContentType/3[java.lang.String,java.lang.String,java.lang.String]",decoraManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,FastIntBuffer/0,buffer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,get/1[int],offset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,get/1[int],buffer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,"append/3[int[],int,int]",offset,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,"append/3[int[],int,int]",buffer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,FastIntBuffer/1[int],buffer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,grow/1[int],buffer,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,size/0,offset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,clear/0,offset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,toArray/0,offset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,toArray/0,buffer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,isEmpty/0,offset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,"toArray/2[int,int]",buffer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,append/1[int],offset,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/buffer/FastIntBuffer.java,jodd.buffer.FastIntBuffer,append/1[int],buffer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,StringBand/0,array,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,StringBand/0,DEFAULT_ARRAY_CAPACITY,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,charAt/1[int],array,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,charAt/1[int],length,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,charAt/1[int],index,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,stringAt/1[int],array,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,stringAt/1[int],index,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,toString/0,array,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,toString/0,length,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,toString/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,StringBand/1[java.lang.String],array,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,StringBand/1[java.lang.String],length,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,StringBand/1[java.lang.String],index,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,index/0,index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,calculateLength/0,array,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,calculateLength/0,length,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,calculateLength/0,index,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,append/1[java.lang.String],array,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,append/1[java.lang.String],length,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,append/1[java.lang.String],index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,setIndex/1[int],array,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,setIndex/1[int],length,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,setIndex/1[int],index,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,StringBand/1[int],array,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,expandCapacity/0,array,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,expandCapacity/0,index,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-core/src/main/java/jodd/util/StringBand.java,jodd.util.StringBand,length/0,length,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/config/ResultPath.java,jodd.madvoc.config.ResultPath,value/0,value,2
