file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",resultValue,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",resultBasePath,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",request,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",path,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",beanTemplateParser,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",actionRequest,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",response,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",redirectPath,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",resultPath,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-madvoc/src/main/java/jodd/madvoc/result/ServletRedirectActionResult.java,jodd.madvoc.result.ServletRedirectActionResult,"render/2[jodd.madvoc.ActionRequest,java.lang.Object]",redirectResult,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-vtor/src/test/java/jodd/vtor/constraint/LengthConstraintTest.java,jodd.vtor.constraint.LengthConstraintTest,testConfigure/0,annotation,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-vtor/src/test/java/jodd/vtor/constraint/LengthConstraintTest.java,jodd.vtor.constraint.LengthConstraintTest,testConfigure/0,lengthConstraint,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-vtor/src/test/java/jodd/vtor/constraint/LengthConstraintTest.java,jodd.vtor.constraint.LengthConstraintTest,testConstructor2/0,lengthConstraint,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-vtor/src/test/java/jodd/vtor/constraint/LengthConstraintTest.java,jodd.vtor.constraint.LengthConstraintTest,testSetMinMax/0,lengthConstraint,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-vtor/src/test/java/jodd/vtor/constraint/LengthConstraintTest.java,jodd.vtor.constraint.LengthConstraintTest,testConstructor1/0,lengthConstraint,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-vtor/src/test/java/jodd/vtor/constraint/LengthConstraintTest.java,jodd.vtor.constraint.LengthConstraintTest,testLengthConstraint/0,lengthConstraint,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/test/java/jodd/decora/DecoraExceptionTest.java,jodd.decora.DecoraExceptionTest,testDecoraExceptionThrowable/0,decoraException,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/jodd/../../jodd/jodd-decora/src/test/java/jodd/decora/DecoraExceptionTest.java,jodd.decora.DecoraExceptionTest,testDecoraExceptionThrowable/0,cause,2
