file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/src/kundera-cassandra/cassandra-pelops/src/test/java/com/impetus/kundera/client/cassandra/pelops/crud/TwitterProfile.java,com.impetus.kundera.client.cassandra.pelops.crud.TwitterProfile,class,4,5,1,4,4,2,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,3,1,2,0,2,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/src/kundera-cassandra/cassandra-core/src/test/java/com/impetus/client/twitter/entities/ProfessionalDetailCassandra.java,com.impetus.client.twitter.entities.ProfessionalDetailCassandra,class,5,8,3,5,44,1,0,0,820,0.9318181,0.066596195,0.95454544,44,0,44,0,0,0,44,0,0,0,21,0,0,21,0,0,0,0,0,175,21,0,0,0,0,42,0,42,0,21,0,0,0,0,73,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/src/jpa-engine/core/src/test/java/com/impetus/kundera/property/accessor/ObjectAccessorTest.java,com.impetus.kundera.property.accessor.ObjectAccessorTest,class,7,7,0,7,13,1,0,17,0,0.0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,58,0,0,5,0,4,15,0,16,0,15,0,0,0,0,25,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/src/jpa-engine/core/src/test/java/com/impetus/kundera/cache/NonOperationalCacheTest.java,com.impetus.kundera.cache.NonOperationalCacheTest,class,3,3,0,3,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,1,2,0,2,0,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/src/kundera-rdbms/src/test/java/com/impetus/client/crud/entities/AddressRDBMSMTM.java,com.impetus.client.crud.entities.AddressRDBMSMTM,class,6,10,4,6,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,5,0,2,0,2,0,0,0,0,15,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/examples/container/tomcat-glassfish/data-keeper/src/main/java/com/impetus/kundera/datakeeper/utils/DataKeeperUtils.java,com.impetus.kundera.datakeeper.utils.DataKeeperUtils,class,4,11,7,4,2,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,4,0,4,0,3,1,0,0,0,19,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/src/jpa-engine/core/src/test/java/com/impetus/kundera/utils/DeepEqualsTest.java,com.impetus.kundera.utils.DeepEqualsTest$ComparablePet,innerclass,2,2,0,2,5,2,0,1,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,2,0,1,0,2,1,0,1,1,0,0,0,9,2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/test/benchmark/ycsb/src/test/java/com/impetus/kundera/ycsb/KuduDBYCSBTest.java,com.impetus.kundera.ycsb.KuduDBYCSBTest,class,7,8,1,7,7,2,0,15,21,0.0,0.0,0.0,7,0,3,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,6,0,2,0,1,0,0,0,0,35,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/src/kundera-rdbms/src/test/java/com/impetus/client/crud/entities/AddressRDBMSMTO.java,com.impetus.client.crud.entities.AddressRDBMSMTO,class,6,10,4,6,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,5,0,2,0,2,0,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kundera/../../kundera/src/jpa-engine/core/src/test/java/com/impetus/kundera/client/crud/mappedsuperclass/MappedSuperClassBase.java,com.impetus.kundera.client.crud.mappedsuperclass.MappedSuperClassBase,class,8,14,4,10,9,1,3,25,4,0.65,0.5,0.5,5,0,0,1,4,0,4,0,0,0,4,3,0,1,3,0,0,0,1,61,0,0,2,1,0,10,7,12,0,11,2,0,0,0,54,1025,1
